persona_id,question_id,average_score,standard_deviation
0,1,4.0,0.0
0,2,4.0,0.0
0,3,1.0,0.0
0,4,1.0,0.0
0,5,1.5,0.5270462766947299
0,6,4.0,0.0
0,7,4.0,0.0
0,8,1.9,0.31622776601683794
0,9,1.2,0.42163702135578396
0,10,0.9,0.31622776601683794
0,11,4.0,0.0
0,12,4.0,0.0
0,13,3.0,0.9428090415820634
0,14,4.0,0.0
0,15,0.0,0.0
0,16,4.0,0.0
0,17,4.8,0.4216370213557839
0,18,4.0,0.0
0,19,3.9,0.31622776601683794
0,20,4.0,0.0
0,21,5.0,0.0
0,22,4.0,0.0
0,23,2.8,0.4216370213557839
0,24,0.8,1.0327955589886446
0,25,2.0,0.0
0,26,5.0,0.0
0,27,4.0,0.0
0,28,3.6,0.5163977794943223
0,29,3.4,0.6992058987801011
0,30,2.7,0.48304589153964794
1,1,4.0,0.0
1,2,4.0,0.0
1,3,4.0,0.0
1,4,3.3,0.48304589153964794
1,5,2.7,0.6749485577105528
1,6,5.0,0.0
1,7,4.3,0.48304589153964794
1,8,3.9,0.31622776601683794
1,9,2.0,0.0
1,10,3.4,0.5163977794943223
1,11,4.4,0.5163977794943222
1,12,4.0,0.0
1,13,4.0,0.0
1,14,4.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,4.6,0.5163977794943222
1,18,4.4,0.5163977794943222
1,19,3.1,0.31622776601683794
1,20,3.1,0.31622776601683794
1,21,5.0,0.0
1,22,4.1,0.31622776601683794
1,23,3.3,0.48304589153964794
1,24,2.1,0.31622776601683794
1,25,4.0,0.0
1,26,2.8,0.4216370213557839
1,27,4.4,0.5163977794943222
1,28,3.6,0.5163977794943223
1,29,2.8,0.6324555320336759
1,30,3.2,0.7888106377466155
2,1,4.0,0.0
2,2,4.0,0.0
2,3,2.6,0.5163977794943223
2,4,3.0,0.816496580927726
2,5,2.7,0.8232726023485646
2,6,4.0,0.0
2,7,4.0,0.0
2,8,3.1,0.8755950357709131
2,9,2.1,0.31622776601683794
2,10,4.0,0.0
2,11,4.0,0.0
2,12,4.0,0.0
2,13,4.0,0.0
2,14,4.0,0.0
2,15,1.2,0.42163702135578396
2,16,3.9,0.31622776601683794
2,17,4.5,0.5270462766947299
2,18,4.0,0.0
2,19,3.7,0.48304589153964794
2,20,4.0,0.0
2,21,5.0,0.0
2,22,3.8,0.4216370213557839
2,23,3.1,0.31622776601683794
2,24,2.1,0.31622776601683794
2,25,2.7,0.48304589153964794
2,26,5.0,0.0
2,27,4.0,0.0
2,28,3.0,0.0
2,29,3.7,0.48304589153964794
2,30,3.1,0.31622776601683794
3,1,4.0,0.0
3,2,4.0,0.0
3,3,2.8,0.6324555320336759
3,4,3.5,0.8498365855987975
3,5,3.9,0.31622776601683794
3,6,4.1,0.31622776601683794
3,7,4.0,0.0
3,8,4.0,0.0
3,9,3.6,0.5163977794943223
3,10,2.0,0.0
3,11,4.6,0.5163977794943222
3,12,4.0,0.0
3,13,4.0,0.0
3,14,4.0,0.0
3,15,0.4,0.8432740427115679
3,16,4.4,0.5163977794943222
3,17,4.6,0.5163977794943222
3,18,4.0,0.0
3,19,4.0,0.0
3,20,3.9,0.31622776601683794
3,21,5.0,0.0
3,22,3.8,0.4216370213557839
3,23,3.0,0.0
3,24,3.0,0.0
3,25,2.8,0.4216370213557839
3,26,4.0,0.0
3,27,4.1,0.31622776601683794
3,28,3.8,0.4216370213557839
3,29,3.6,0.8432740427115678
3,30,3.0,0.0
4,1,4.0,0.0
4,2,4.0,0.0
4,3,1.5,0.5270462766947299
4,4,3.0,0.4714045207910317
4,5,3.8,0.4216370213557839
4,6,4.0,0.0
4,7,4.0,0.0
4,8,3.8,0.6324555320336759
4,9,3.8,0.4216370213557839
4,10,2.2,0.4216370213557839
4,11,4.0,0.0
4,12,4.0,0.0
4,13,4.0,0.0
4,14,4.0,0.0
4,15,1.7,0.4830458915396479
4,16,4.0,0.0
4,17,4.0,0.0
4,18,3.1,0.31622776601683794
4,19,3.2,0.4216370213557839
4,20,2.9,0.31622776601683794
4,21,4.0,0.0
4,22,3.9,0.31622776601683794
4,23,3.0,0.0
4,24,4.0,0.0
4,25,2.0,0.0
4,26,3.0,0.0
4,27,4.0,0.0
4,28,2.9,0.31622776601683794
4,29,2.1,0.31622776601683794
4,30,2.1,0.31622776601683794
5,1,3.9,0.31622776601683794
5,2,4.0,0.0
5,3,1.0,0.0
5,4,1.0,0.0
5,5,0.8,0.42163702135578396
5,6,4.0,0.0
5,7,3.8,0.6324555320336759
5,8,1.0,0.0
5,9,1.0,0.0
5,10,0.0,0.0
5,11,4.0,0.0
5,12,4.0,0.0
5,13,2.2,0.6324555320336759
5,14,4.0,0.0
5,15,0.0,0.0
5,16,3.0,0.0
5,17,4.0,0.0
5,18,4.0,0.0
5,19,4.0,0.0
5,20,3.0,0.0
5,21,5.0,0.0
5,22,3.8,0.4216370213557839
5,23,3.0,0.0
5,24,2.1,0.31622776601683794
5,25,2.2,0.6324555320336759
5,26,4.0,0.0
5,27,4.0,0.0
5,28,4.0,0.0
5,29,4.0,0.0
5,30,3.0,0.0
6,1,4.0,0.0
6,2,4.0,0.0
6,3,2.7,0.48304589153964794
6,4,2.0,0.0
6,5,2.5,0.8498365855987975
6,6,4.4,0.5163977794943222
6,7,4.2,0.4216370213557839
6,8,3.1,0.9944289260117533
6,9,2.1,0.31622776601683794
6,10,3.9,0.31622776601683794
6,11,4.9,0.31622776601683794
6,12,4.4,0.5163977794943222
6,13,4.0,0.0
6,14,4.0,0.0
6,15,2.1,0.5676462121975467
6,16,5.0,0.0
6,17,5.0,0.0
6,18,3.2,0.4216370213557839
6,19,3.5,0.5270462766947299
6,20,3.7,0.48304589153964794
6,21,5.0,0.0
6,22,4.1,0.31622776601683794
6,23,3.6,0.5163977794943223
6,24,2.2,0.4216370213557839
6,25,2.7,0.48304589153964794
6,26,4.5,0.5270462766947299
6,27,4.7,0.48304589153964794
6,28,2.6,0.5163977794943223
6,29,2.2,0.6324555320336759
6,30,3.0,0.0
7,1,4.0,0.0
7,2,4.0,0.0
7,3,2.0,0.0
7,4,2.1,0.31622776601683794
7,5,2.7,0.48304589153964794
7,6,4.0,0.0
7,7,4.0,0.0
7,8,3.6,0.6992058987801011
7,9,1.2,0.4216370213557839
7,10,3.0,0.0
7,11,4.0,0.0
7,12,4.0,0.0
7,13,3.6,0.5163977794943223
7,14,3.5,0.5270462766947299
7,15,0.6,0.6992058987801011
7,16,4.5,0.5270462766947299
7,17,4.9,0.31622776601683794
7,18,4.0,0.0
7,19,3.0,0.0
7,20,3.0,0.0
7,21,5.0,0.0
7,22,4.0,0.0
7,23,2.9,0.31622776601683794
7,24,0.5,0.8498365855987975
7,25,2.1,0.31622776601683794
7,26,3.0,0.0
7,27,4.1,0.31622776601683794
7,28,2.0,0.0
7,29,2.0,0.0
7,30,2.2,0.4216370213557839
8,1,2.4,0.5163977794943223
8,2,2.4,0.5163977794943223
8,3,2.2,1.1352924243950935
8,4,4.0,0.0
8,5,1.0,0.0
8,6,2.6,0.5163977794943223
8,7,4.0,0.0
8,8,2.9,0.5676462121975467
8,9,2.5,0.5270462766947299
8,10,1.5,0.5270462766947299
8,11,3.7,0.48304589153964794
8,12,3.6,0.8432740427115678
8,13,3.7,0.48304589153964794
8,14,2.2,0.4216370213557839
8,15,1.9,0.31622776601683794
8,16,4.0,0.0
8,17,4.1,0.31622776601683794
8,18,4.5,0.5270462766947299
8,19,4.6,0.5163977794943222
8,20,3.4,0.9660917830792959
8,21,5.0,0.0
8,22,4.0,0.0
8,23,3.8,0.4216370213557839
8,24,2.9,0.31622776601683794
8,25,1.8,0.6324555320336759
8,26,5.0,0.0
8,27,3.8,0.4216370213557839
8,28,4.0,0.0
8,29,4.0,0.0
8,30,3.7,0.48304589153964794
9,1,4.0,0.0
9,2,4.0,0.0
9,3,3.0,1.3333333333333333
9,4,3.6,0.8432740427115678
9,5,3.9,0.31622776601683794
9,6,4.0,0.0
9,7,4.1,0.31622776601683794
9,8,3.4,0.9660917830792959
9,9,3.2,1.0327955589886446
9,10,2.9,0.9944289260117533
9,11,4.2,0.4216370213557839
9,12,4.0,0.0
9,13,3.8,0.6324555320336759
9,14,4.0,0.0
9,15,3.7,0.6749485577105528
9,16,4.0,0.0
9,17,4.0,0.0
9,18,3.0,0.0
9,19,2.0,0.0
9,20,2.2,0.4216370213557839
9,21,4.3,0.9486832980505138
9,22,2.7,0.48304589153964794
9,23,2.3,0.48304589153964794
9,24,3.8,0.6324555320336759
9,25,2.0,0.0
9,26,2.0,0.0
9,27,4.2,0.4216370213557839
9,28,2.0,0.0
9,29,2.0,0.0
9,30,2.0,0.0
10,1,4.0,0.0
10,2,4.0,0.0
10,3,2.1,0.31622776601683794
10,4,1.7,0.4830458915396479
10,5,1.7,0.8232726023485646
10,6,4.0,0.0
10,7,4.0,0.0
10,8,2.8,1.0327955589886446
10,9,1.3,0.4830458915396479
10,10,2.3,0.48304589153964794
10,11,4.0,0.0
10,12,4.0,0.0
10,13,4.0,0.0
10,14,4.0,0.0
10,15,0.0,0.0
10,16,4.0,0.0
10,17,5.0,0.0
10,18,4.0,0.0
10,19,2.2,0.4216370213557839
10,20,3.6,0.5163977794943223
10,21,5.0,0.0
10,22,4.0,0.0
10,23,2.1,0.31622776601683794
10,24,1.4,0.9660917830792958
10,25,2.0,0.0
10,26,4.5,0.5270462766947299
10,27,4.8,0.4216370213557839
10,28,2.4,0.5163977794943223
10,29,2.0,0.0
10,30,2.0,0.0
