group_id,persona_id
0,0
0,1
0,2
0,3
1,4
1,5
1,6
1,7
2,8
2,9
2,10
2,11
3,12
3,13
3,14
3,15
4,16
4,17
4,18
4,19
5,20
5,21
5,22
5,23
6,24
6,25
6,26
6,27
7,28
7,30
7,31
7,32
8,33
8,34
8,35
8,36
9,37
9,38
9,39
9,40
10,41
10,43
10,45
10,46
11,47
11,48
11,49
11,50
12,52
12,53
12,54
12,55
13,56
13,57
13,58
13,59
14,60
14,61
14,62
14,63
15,64
15,65
15,66
15,67
16,68
16,69
16,70
16,71
17,72
17,73
17,74
17,76
18,77
18,78
18,79
18,80
19,81
19,82
19,83
19,84
20,85
20,87
20,88
20,89
21,91
21,92
21,93
21,94
22,96
22,97
22,98
22,99
