persona_id,question_id,average_score,standard_deviation
0,1,3.0,0.0
0,2,5.0,0.0
0,3,0.0,0.0
0,4,2.4,0.5163977794943223
0,5,0.5,0.5270462766947299
0,6,4.0,0.0
0,7,4.0,0.0
0,8,4.0,0.0
0,9,1.0,0.0
0,10,0.0,0.0
0,11,3.0,0.0
0,12,5.0,0.0
0,13,1.6,0.5163977794943223
0,14,5.0,0.0
0,15,0.0,0.0
0,16,5.0,0.0
0,17,5.0,0.0
0,18,4.8,0.6324555320336759
0,19,3.0,0.0
0,20,1.9,0.31622776601683794
0,21,5.0,0.0
0,22,5.0,0.0
0,23,3.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,5.0,0.0
0,27,3.6,0.6992058987801011
0,28,3.6,0.5163977794943223
0,29,4.0,0.0
0,30,0.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,3.0,0.0
1,4,1.2,0.42163702135578396
1,5,1.0,0.0
1,6,5.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,1.0,0.0
1,10,4.3,0.48304589153964794
1,11,5.0,0.0
1,12,5.0,0.0
1,13,4.2,0.4216370213557839
1,14,5.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,3.4,0.8432740427115678
1,20,2.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,5.0,0.0
1,24,5.0,0.0
1,25,0.0,0.0
1,26,2.0,0.0
1,27,5.0,0.0
1,28,5.0,0.0
1,29,5.0,0.0
1,30,5.0,0.0
2,1,4.0,0.0
2,2,5.0,0.0
2,3,1.0,0.0
2,4,2.6,0.5163977794943223
2,5,2.0,0.0
2,6,5.0,0.0
2,7,5.0,0.0
2,8,4.0,0.0
2,9,1.0,0.0
2,10,1.0,0.0
2,11,5.0,0.0
2,12,5.0,0.0
2,13,4.0,0.0
2,14,4.0,0.0
2,15,1.0,0.0
2,16,5.0,0.0
2,17,5.0,0.0
2,18,5.0,0.0
2,19,4.0,0.0
2,20,4.6,0.8432740427115678
2,21,5.0,0.0
2,22,5.0,0.0
2,23,5.0,0.0
2,24,0.0,0.0
2,25,0.0,0.0
2,26,5.0,0.0
2,27,4.9,0.31622776601683794
2,28,3.1,0.31622776601683794
2,29,5.0,0.0
2,30,0.0,0.0
3,1,5.0,0.0
3,2,5.0,0.0
3,3,3.0,0.0
3,4,3.2,0.4216370213557839
3,5,3.0,0.0
3,6,5.0,0.0
3,7,5.0,0.0
3,8,4.3,0.48304589153964794
3,9,3.0,0.0
3,10,2.9,0.31622776601683794
3,11,5.0,0.0
3,12,5.0,0.0
3,13,4.0,0.0
3,14,5.0,0.0
3,15,4.0,0.0
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,4.0,0.0
3,20,3.0,0.0
3,21,5.0,0.0
3,22,5.0,0.0
3,23,4.4,0.5163977794943222
3,24,5.0,0.0
3,25,0.0,0.0
3,26,5.0,0.0
3,27,5.0,0.0
3,28,4.0,0.0
3,29,5.0,0.0
3,30,2.4,0.5163977794943223
4,1,4.0,0.0
4,2,5.0,0.0
4,3,3.0,0.0
4,4,4.0,0.0
4,5,4.0,0.0
4,6,5.0,0.0
4,7,4.4,0.5163977794943222
4,8,5.0,0.0
4,9,4.0,0.0
4,10,2.7,0.48304589153964794
4,11,4.0,0.0
4,12,5.0,0.0
4,13,5.0,0.0
4,14,4.9,0.31622776601683794
4,15,2.9,0.31622776601683794
4,16,5.0,0.0
4,17,5.0,0.0
4,18,5.0,0.0
4,19,4.0,0.0
4,20,0.0,0.0
4,21,5.0,0.0
4,22,4.9,0.31622776601683794
4,23,5.0,0.0
4,24,5.0,0.0
4,25,0.0,0.0
4,26,1.0,0.0
4,27,5.0,0.0
4,28,3.4,0.5163977794943223
4,29,3.0,0.0
4,30,0.0,0.0
5,1,1.0,0.0
5,2,0.0,0.0
5,3,1.0,0.0
5,4,1.0,0.0
5,5,0.0,0.0
5,6,1.0,0.0
5,7,0.9,0.31622776601683794
5,8,1.0,0.0
5,9,0.0,0.0
5,10,0.0,0.0
5,11,0.0,0.0
5,12,3.1,0.7378647873726218
5,13,0.0,0.0
5,14,5.0,0.0
5,15,0.0,0.0
5,16,5.0,0.0
5,17,5.0,0.0
5,18,5.0,0.0
5,19,4.0,0.0
5,20,0.0,0.0
5,21,5.0,0.0
5,22,5.0,0.0
5,23,3.0,0.0
5,24,1.0,0.0
5,25,0.0,0.0
5,26,5.0,0.0
5,27,4.6,0.8432740427115678
5,28,4.0,0.0
5,29,5.0,0.0
5,30,0.0,0.0
6,1,5.0,0.0
6,2,5.0,0.0
6,3,1.0,0.0
6,4,3.0,0.0
6,5,2.0,0.0
6,6,5.0,0.0
6,7,5.0,0.0
6,8,5.0,0.0
6,9,2.9,0.31622776601683794
6,10,2.4,0.5163977794943223
6,11,5.0,0.0
6,12,5.0,0.0
6,13,3.7,0.48304589153964794
6,14,5.0,0.0
6,15,4.0,0.0
6,16,5.0,0.0
6,17,5.0,0.0
6,18,5.0,0.0
6,19,5.0,0.0
6,20,2.1,0.31622776601683794
6,21,5.0,0.0
6,22,5.0,0.0
6,23,4.3,0.48304589153964794
6,24,2.3,0.48304589153964794
6,25,0.0,0.0
6,26,5.0,0.0
6,27,5.0,0.0
6,28,2.0,0.0
6,29,5.0,0.0
6,30,5.0,0.0
7,1,5.0,0.0
7,2,5.0,0.0
7,3,2.7,0.48304589153964794
7,4,3.0,0.0
7,5,2.0,0.0
7,6,5.0,0.0
7,7,5.0,0.0
7,8,4.0,0.0
7,9,1.0,0.0
7,10,4.0,0.0
7,11,5.0,0.0
7,12,5.0,0.0
7,13,5.0,0.0
7,14,4.6,0.5163977794943222
7,15,2.3,0.48304589153964794
7,16,5.0,0.0
7,17,5.0,0.0
7,18,5.0,0.0
7,19,4.0,0.0
7,20,3.0,0.0
7,21,5.0,0.0
7,22,5.0,0.0
7,23,5.0,0.0
7,24,2.0,0.0
7,25,0.0,0.0
7,26,5.0,0.0
7,27,5.0,0.0
7,28,3.0,0.0
7,29,3.0,0.0
7,30,2.0,0.0
8,1,3.0,0.0
8,2,4.0,0.0
8,3,2.0,0.0
8,4,4.0,0.0
8,5,1.0,0.0
8,6,4.0,0.0
8,7,4.0,0.0
8,8,4.0,0.0
8,9,1.0,0.0
8,10,1.0,0.0
8,11,4.0,0.0
8,12,5.0,0.0
8,13,3.0,0.0
8,14,4.0,0.0
8,15,4.0,0.0
8,16,4.0,0.0
8,17,5.0,0.0
8,18,5.0,0.0
8,19,5.0,0.0
8,20,4.0,0.0
8,21,5.0,0.0
8,22,5.0,0.0
8,23,5.0,0.0
8,24,4.0,0.0
8,25,0.0,0.0
8,26,5.0,0.0
8,27,2.5,0.5270462766947299
8,28,4.0,0.0
8,29,5.0,0.0
8,30,3.0,0.0
9,1,4.0,0.0
9,2,5.0,0.0
9,3,2.9,0.31622776601683794
9,4,4.0,0.0
9,5,2.0,0.0
9,6,5.0,0.0
9,7,4.6,0.5163977794943222
9,8,5.0,0.0
9,9,3.9,0.31622776601683794
9,10,3.0,0.0
9,11,5.0,0.0
9,12,4.8,0.4216370213557839
9,13,4.0,0.0
9,14,4.0,0.0
9,15,5.0,0.0
9,16,5.0,0.0
9,17,5.0,0.0
9,18,4.9,0.31622776601683794
9,19,5.0,0.0
9,20,3.6,0.8432740427115678
9,21,5.0,0.0
9,22,4.0,0.0
9,23,5.0,0.0
9,24,5.0,0.0
9,25,0.0,0.0
9,26,1.2,0.42163702135578396
9,27,5.0,0.0
9,28,3.0,0.0
9,29,4.9,0.31622776601683794
9,30,1.0,0.0
10,1,4.0,0.0
10,2,5.0,0.0
10,3,2.9,0.31622776601683794
10,4,2.1,0.31622776601683794
10,5,2.2,0.4216370213557839
10,6,5.0,0.0
10,7,5.0,0.0
10,8,4.0,0.0
10,9,1.0,0.0
10,10,3.5,0.5270462766947299
10,11,5.0,0.0
10,12,5.0,0.0
10,13,4.0,0.0
10,14,4.0,0.0
10,15,2.0,0.0
10,16,5.0,0.0
10,17,5.0,0.0
10,18,5.0,0.0
10,19,3.0,0.0
10,20,3.1,0.31622776601683794
10,21,5.0,0.0
10,22,5.0,0.0
10,23,4.6,0.5163977794943222
10,24,4.0,0.0
10,25,0.4,0.5163977794943223
10,26,4.8,0.4216370213557839
10,27,4.0,0.0
10,28,2.9,0.31622776601683794
10,29,4.0,0.0
10,30,1.0,0.0
11,1,5.0,0.0
11,2,5.0,0.0
11,3,1.0,0.0
11,4,2.0,0.0
