persona_id,question_id,average_score,standard_deviation
0,1,3.0,0.0
0,2,4.0,0.0
0,3,0.0,0.0
0,4,1.0,0.0
0,5,0.0,0.0
0,6,3.0,0.0
0,7,4.0,0.0
0,8,2.0,0.0
0,9,1.2,0.4216370213557839
0,10,1.3,0.4830458915396479
0,11,2.0,0.0
0,12,4.0,0.0
0,13,1.0,0.0
0,14,3.0,0.0
0,15,0.0,0.0
0,16,3.0,0.0
0,17,5.0,0.0
0,18,4.0,0.0
0,19,3.0,0.0
0,20,3.0,0.0
0,21,5.0,0.0
0,22,3.6,0.5163977794943223
0,23,3.0,0.0
0,24,2.0,0.0
0,25,2.0,0.0
0,26,3.0,0.0
0,27,3.0,0.0
0,28,4.0,0.0
0,29,2.0,0.0
0,30,3.0,0.0
1,1,4.5,0.5270462766947299
1,2,4.1,0.31622776601683794
1,3,3.0,0.0
1,4,3.0,0.0
1,5,2.4,0.5163977794943223
1,6,4.9,0.31622776601683794
1,7,4.6,0.5163977794943222
1,8,4.0,0.0
1,9,2.0,0.0
1,10,3.7,0.48304589153964794
1,11,4.9,0.31622776601683794
1,12,5.0,0.0
1,13,4.0,0.0
1,14,4.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,4.0,0.0
1,20,5.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,3.0,0.0
1,24,3.0,0.0
1,25,3.0,0.0
1,26,2.0,0.0
1,27,5.0,0.0
1,28,3.0,0.0
1,29,3.0,0.0
1,30,3.0,0.0
2,1,4.0,0.0
2,2,4.0,0.0
2,3,2.0,0.0
2,4,2.0,0.0
2,5,2.0,0.0
2,6,4.0,0.0
2,7,4.0,0.0
2,8,3.0,0.0
2,9,2.0,0.0
2,10,3.0,0.0
2,11,4.0,0.0
2,12,4.0,0.0
2,13,2.0,0.0
2,14,4.0,0.0
2,15,2.0,0.0
2,16,4.0,0.0
2,17,5.0,0.0
2,18,5.0,0.0
2,19,4.0,0.0
2,20,4.0,0.0
2,21,5.0,0.0
2,22,4.0,0.0
2,23,3.0,0.0
2,24,3.0,0.0
2,25,3.0,0.0
2,26,5.0,0.0
2,27,4.0,0.0
2,28,4.0,0.0
2,29,3.0,0.0
2,30,3.0,0.0
3,1,4.0,0.0
3,2,4.0,0.0
3,3,2.0,0.0
3,4,2.0,0.0
3,5,2.0,0.0
3,6,4.5,0.5270462766947299
3,7,3.0,0.0
3,8,2.0,0.0
3,9,2.0,0.0
3,10,2.0,0.0
3,11,4.0,0.0
3,12,4.0,0.0
3,13,2.0,0.0
3,14,3.0,0.0
3,15,2.2,0.4216370213557839
