persona_id,question_id,run_index,rating,collected_at
0,1,1,0,2025-10-14T19:19:37.449527
0,1,2,0,2025-10-14T19:19:37.692432
0,1,3,0,2025-10-14T19:19:37.934250
0,1,4,0,2025-10-14T19:19:38.177046
0,1,5,0,2025-10-14T19:19:38.419527
0,1,6,0,2025-10-14T19:19:38.661147
0,1,7,0,2025-10-14T19:19:38.903958
0,1,8,0,2025-10-14T19:19:39.146754
0,1,9,0,2025-10-14T19:19:39.389700
0,1,10,0,2025-10-14T19:19:39.632848
0,2,1,4,2025-10-14T19:19:40.161837
0,2,2,4,2025-10-14T19:19:40.404696
0,2,3,4,2025-10-14T19:19:40.647623
0,2,4,4,2025-10-14T19:19:40.890754
0,2,5,5,2025-10-14T19:19:41.134095
0,2,6,5,2025-10-14T19:19:41.377044
0,2,7,4,2025-10-14T19:19:41.619737
0,2,8,5,2025-10-14T19:19:41.862278
0,2,9,4,2025-10-14T19:19:42.105143
0,2,10,4,2025-10-14T19:19:42.347905
0,3,1,0,2025-10-14T19:19:42.876875
0,3,2,0,2025-10-14T19:19:43.119889
0,3,3,0,2025-10-14T19:19:43.362802
0,3,4,0,2025-10-14T19:19:43.605757
0,3,5,0,2025-10-14T19:19:43.848659
0,3,6,0,2025-10-14T19:19:44.090850
0,3,7,0,2025-10-14T19:19:44.333876
0,3,8,0,2025-10-14T19:19:44.576519
0,3,9,0,2025-10-14T19:19:44.819136
0,3,10,0,2025-10-14T19:19:45.062170
0,4,1,0,2025-10-14T19:19:45.590840
0,4,2,0,2025-10-14T19:19:45.834116
0,4,3,0,2025-10-14T19:19:46.076218
0,4,4,0,2025-10-14T19:19:46.317963
0,4,5,0,2025-10-14T19:19:46.560347
0,4,6,0,2025-10-14T19:19:46.803379
0,4,7,0,2025-10-14T19:19:47.046517
0,4,8,0,2025-10-14T19:19:47.289507
0,4,9,0,2025-10-14T19:19:47.532597
0,4,10,0,2025-10-14T19:19:47.775551
0,5,1,0,2025-10-14T19:19:48.304347
0,5,2,0,2025-10-14T19:19:48.547454
0,5,3,0,2025-10-14T19:19:48.790579
0,5,4,0,2025-10-14T19:19:49.033657
0,5,5,0,2025-10-14T19:19:49.276815
0,5,6,0,2025-10-14T19:19:49.519817
0,5,7,0,2025-10-14T19:19:49.763006
0,5,8,0,2025-10-14T19:19:50.006103
0,5,9,0,2025-10-14T19:19:50.249531
0,5,10,0,2025-10-14T19:19:50.492809
0,6,1,0,2025-10-14T19:19:51.020757
0,6,2,0,2025-10-14T19:19:51.263979
0,6,3,0,2025-10-14T19:19:51.507354
0,6,4,0,2025-10-14T19:19:51.750343
0,6,5,0,2025-10-14T19:19:51.990838
0,6,6,0,2025-10-14T19:19:52.234380
0,6,7,0,2025-10-14T19:19:52.477543
0,6,8,0,2025-10-14T19:19:52.721013
0,6,9,0,2025-10-14T19:19:52.964413
0,6,10,0,2025-10-14T19:19:53.207669
0,7,1,0,2025-10-14T19:19:53.736392
0,7,2,0,2025-10-14T19:19:53.979751
0,7,3,0,2025-10-14T19:19:54.223097
0,7,4,0,2025-10-14T19:19:54.466467
0,7,5,0,2025-10-14T19:19:54.709540
0,7,6,0,2025-10-14T19:19:54.952680
0,7,7,0,2025-10-14T19:19:55.195779
0,7,8,0,2025-10-14T19:19:55.437680
0,7,9,0,2025-10-14T19:19:55.680469
0,7,10,0,2025-10-14T19:19:55.922459
0,8,1,2,2025-10-14T19:19:56.450469
0,8,2,3,2025-10-14T19:19:56.693298
0,8,3,0,2025-10-14T19:19:56.935980
0,8,4,0,2025-10-14T19:19:57.181100
0,8,5,0,2025-10-14T19:19:57.424551
0,8,6,2,2025-10-14T19:19:57.667702
0,8,7,2,2025-10-14T19:19:57.911151
0,8,8,2,2025-10-14T19:19:58.154569
0,8,9,2,2025-10-14T19:19:58.397442
