persona,question,average_score,uncertainty
0,1,4.0,0.0
0,2,4.0,0.0
0,3,1.9,0.31622776601683794
0,4,2.0,0.0
0,5,2.0,0.0
0,6,2.1,0.31622776601683794
0,7,4.0,0.0
0,8,4.0,0.0
0,9,2.0,0.0
0,10,2.1,0.31622776601683794
0,11,4.0,0.0
0,12,4.0,0.0
0,13,4.0,0.0
0,14,2.0,0.0
0,15,4.0,0.0
0,16,1.0,0.0
0,17,4.0,0.0
0,18,4.2,0.4216370213557839
0,19,3.1,0.31622776601683794
0,20,3.0,0.0
0,21,4.1,0.31622776601683794
0,22,5.0,0.0
0,23,5.0,0.0
0,24,3.0,0.0
0,25,3.3,0.48304589153964794
0,26,3.0,0.0
0,27,2.9,0.31622776601683794
0,28,4.8,0.4216370213557839
0,29,3.0,0.0
0,30,4.0,0.0
0,31,1.0,0.0
0,32,3.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,2.0,0.0
1,4,3.1,0.5676462121975467
1,5,2.2,0.7888106377466155
1,6,0.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,4.3,0.48304589153964794
1,10,2.0,0.0
1,11,4.9,0.31622776601683794
1,12,4.9,0.31622776601683794
1,13,5.0,0.0
1,14,1.9,0.31622776601683794
1,15,5.0,0.0
1,16,1.1,0.31622776601683794
1,17,5.0,0.0
1,18,5.0,0.0
1,19,4.0,0.0
1,20,3.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,5.0,0.0
1,24,4.0,0.0
1,25,4.4,0.5163977794943222
1,26,1.4,0.8432740427115678
1,27,3.0,0.0
1,28,3.0,0.0
1,29,4.0,0.0
1,30,4.0,0.0
1,31,1.0,0.0
1,32,3.0,0.0
2,1,4.0,0.0
2,2,4.0,0.0
2,3,2.1,0.31622776601683794
2,4,2.0,0.0
2,5,2.3,0.48304589153964794
2,6,1.9,0.31622776601683794
2,7,4.0,0.0
2,8,4.0,0.0
2,9,2.4,0.5163977794943223
2,10,2.4,0.5163977794943223
2,11,2.1,0.31622776601683794
2,12,4.0,0.0
2,13,4.0,0.0
2,14,2.2,0.4216370213557839
2,15,3.3,0.48304589153964794
2,16,2.2,0.4216370213557839
2,17,3.6,0.5163977794943223
2,18,4.0,0.0
2,19,3.1,0.31622776601683794
2,20,3.0,0.0
2,21,4.0,0.0
2,22,4.0,0.0
2,23,4.4,0.5163977794943222
2,24,3.0,0.0
2,25,3.3,0.48304589153964794
2,26,2.8,0.6324555320336759
2,27,2.4,0.5163977794943223
2,28,4.8,0.4216370213557839
2,29,3.0,0.0
2,30,3.0,0.0
2,31,1.0,0.0
2,32,3.0,0.0
3,1,4.0,0.0
3,2,4.0,0.0
3,3,2.3,0.48304589153964794
3,4,2.1,0.31622776601683794
3,5,3.5,0.5270462766947299
3,6,1.0,0.0
3,7,4.0,0.0
3,8,4.0,0.0
3,9,4.0,0.0
3,10,3.1,0.31622776601683794
3,11,3.1,0.8755950357709131
3,12,4.0,0.0
3,13,4.0,0.0
3,14,2.3,0.48304589153964794
3,15,4.0,0.0
3,16,2.0,0.0
3,17,4.0,0.0
3,18,4.0,0.0
3,19,4.0,0.0
3,20,3.0,0.0
3,21,4.0,0.0
3,22,5.0,0.0
3,23,5.0,0.0
3,24,3.0,0.0
3,25,4.0,0.0
3,26,3.0,0.0
3,27,3.0,0.0
3,28,3.0,0.0
3,29,3.0,0.0
3,30,3.0,0.0
3,31,1.0,0.0
3,32,3.0,0.0
4,1,4.0,0.0
4,2,4.0,0.0
4,3,3.0,0.0
4,4,3.0,0.0
4,5,4.0,0.0
4,6,1.8,1.0327955589886444
4,7,4.0,0.0
4,8,4.0,0.0
4,9,4.0,0.0
4,10,4.0,0.0
4,11,3.2,0.4216370213557839
4,12,4.0,0.0
4,13,4.0,0.0
4,14,3.4,0.5163977794943223
4,15,4.0,0.0
4,16,3.5,0.5270462766947299
4,17,4.0,0.0
4,18,4.0,0.0
4,19,3.0,0.0
4,20,3.0,0.0
4,21,3.0,0.0
4,22,4.0,0.0
4,23,4.1,0.31622776601683794
4,24,3.0,0.0
4,25,3.2,0.4216370213557839
4,26,3.0,0.0
4,27,3.0,0.0
4,28,3.0,0.0
4,29,3.0,0.0
4,30,3.0,0.0
4,31,2.4,0.5163977794943223
4,32,3.0,0.0
5,1,2.9,0.31622776601683794
5,2,4.0,0.0
5,3,1.0,0.0
5,4,2.0,0.0
5,5,2.0,0.0
5,6,2.0,0.0
5,7,4.0,0.0
5,8,4.0,0.0
5,9,2.0,0.0
5,10,2.0,0.0
5,11,2.1,0.31622776601683794
5,12,3.9,0.31622776601683794
5,13,4.0,0.0
5,14,1.9,0.31622776601683794
5,15,3.5,0.5270462766947299
5,16,1.0,0.0
5,17,4.0,0.0
5,18,4.3,0.48304589153964794
5,19,3.1,0.31622776601683794
5,20,3.0,0.0
5,21,4.0,0.0
5,22,4.5,0.5270462766947299
5,23,5.0,0.0
5,24,3.0,0.0
5,25,3.7,0.48304589153964794
5,26,2.4,0.5163977794943223
5,27,2.2,0.4216370213557839
5,28,5.0,0.0
5,29,3.9,0.31622776601683794
5,30,4.0,0.0
5,31,1.0,0.0
5,32,3.0,0.0
6,1,4.0,0.0
6,2,4.1,0.31622776601683794
6,3,2.2,0.4216370213557839
6,4,2.1,0.31622776601683794
6,5,2.8,0.4216370213557839
6,6,0.0,0.0
6,7,4.0,0.0
6,8,4.0,0.0
6,9,3.9,0.31622776601683794
6,10,2.7,0.48304589153964794
6,11,3.2,0.4216370213557839
6,12,4.1,0.31622776601683794
6,13,4.0,0.0
6,14,2.0,0.0
6,15,4.0,0.0
6,16,2.0,0.0
6,17,5.0,0.0
6,18,5.0,0.0
6,19,4.0,0.0
6,20,3.0,0.0
6,21,4.0,0.0
6,22,5.0,0.0
6,23,5.0,0.0
6,24,4.0,0.0
6,25,4.0,0.0
6,26,2.4,0.9660917830792958
6,27,1.8,0.6324555320336759
6,28,4.7,0.48304589153964794
6,29,4.0,0.0
6,30,3.0,0.0
6,31,1.0,0.0
6,32,3.0,0.0
7,1,4.0,0.0
7,2,4.0,0.0
7,3,2.1,0.31622776601683794
7,4,3.0,0.0
7,5,4.0,0.0
7,6,1.0,0.0
7,7,4.0,0.0
7,8,4.0,0.0
7,9,3.3,0.48304589153964794
7,10,2.2,0.4216370213557839
7,11,4.0,0.0
7,12,4.0,0.0
7,13,4.0,0.0
7,14,3.2,0.4216370213557839
7,15,4.0,0.0
7,16,2.1,0.31622776601683794
7,17,4.2,0.4216370213557839
7,18,4.0,0.0
7,19,4.0,0.0
7,20,3.0,0.0
7,21,4.0,0.0
7,22,4.2,0.4216370213557839
7,23,5.0,0.0
7,24,4.0,0.0
7,25,4.0,0.0
7,26,3.0,0.0
7,27,3.0,0.0
7,28,4.3,0.48304589153964794
7,29,4.0,0.0
7,30,3.0,0.0
7,31,1.0,0.0
7,32,3.0,0.0
8,1,2.2,0.4216370213557839
8,2,4.0,0.0
8,3,2.0,0.0
8,4,2.0,0.0
8,5,2.0,0.0
8,6,1.0,0.0
8,7,3.0,0.0
8,8,4.0,0.0
8,9,2.1,0.31622776601683794
8,10,2.0,0.0
8,11,2.1,0.31622776601683794
8,12,2.3,0.48304589153964794
8,13,2.5,0.5270462766947299
8,14,2.0,0.0
8,15,2.2,0.6324555320336759
8,16,2.0,0.0
8,17,3.0,0.0
8,18,4.0,0.0
8,19,4.0,0.0
8,20,4.0,0.0
8,21,4.0,0.0
8,22,4.1,0.31622776601683794
8,23,5.0,0.0
8,24,3.0,0.0
8,25,4.0,0.0
8,26,3.0,0.0
8,27,3.0,0.0
8,28,3.6,0.9660917830792958
8,29,1.4,0.8432740427115679
8,30,3.0,0.0
8,31,2.0,0.0
8,32,3.0,0.0
9,1,4.0,0.0
9,2,4.0,0.0
9,3,2.4,0.8432740427115678
9,4,3.6,0.5163977794943223
9,5,4.0,0.0
9,6,1.0,0.0
9,7,4.0,0.0
9,8,4.0,0.0
9,9,4.0,0.0
9,10,3.1,0.5676462121975467
9,11,4.0,0.0
9,12,4.0,0.0
9,13,4.0,0.0
9,14,4.0,0.0
9,15,4.0,0.0
9,16,4.0,0.0
9,17,4.0,0.0
9,18,3.7,0.48304589153964794
9,19,3.0,0.0
9,20,3.0,0.0
9,21,3.9,0.31622776601683794
9,22,4.0,0.0
9,23,4.5,0.5270462766947299
9,24,3.0,0.0
9,25,4.0,0.0
9,26,3.0,0.0
9,27,2.9,0.31622776601683794
9,28,3.0,0.0
9,29,3.1,0.31622776601683794
9,30,3.0,0.0
9,31,1.2,0.6324555320336759
9,32,3.0,0.0
10,1,4.0,0.0
10,2,4.0,0.0
10,3,2.1,0.31622776601683794
10,4,2.1,0.31622776601683794
10,5,2.0,0.0
10,6,1.0,0.0
10,7,4.0,0.0
10,8,4.0,0.0
10,9,2.0,0.0
10,10,2.0,0.0
10,11,2.6,0.5163977794943223
10,12,4.0,0.0
10,13,3.8,0.4216370213557839
10,14,2.0,0.0
10,15,2.9,0.31622776601683794
10,16,1.8,0.4216370213557839
10,17,4.0,0.0
10,18,4.4,0.5163977794943222
10,19,4.0,0.0
10,20,3.0,0.0
10,21,4.0,0.0
10,22,4.4,0.5163977794943222
10,23,5.0,0.0
10,24,3.1,0.31622776601683794
10,25,4.0,0.0
10,26,2.6,0.5163977794943223
10,27,2.7,0.48304589153964794
10,28,4.8,0.4216370213557839
10,29,3.9,0.31622776601683794
10,30,3.0,0.0
10,31,1.0,0.0
10,32,2.6,0.5163977794943223
11,1,4.0,0.0
11,2,4.0,0.0
