persona_id,question_id,average_score,standard_deviation
0,1,4.0,0.0
0,2,5.0,0.0
0,3,2.0,0.0
0,4,2.0,0.0
0,5,2.0,0.0
0,6,4.0,0.0
0,7,5.0,0.0
0,8,3.0,0.0
0,9,1.0,0.0
0,10,1.0,0.0
0,11,4.0,0.0
0,12,5.0,0.0
0,13,3.0,0.0
0,14,4.2,0.4216370213557839
0,15,1.0,0.0
0,16,3.0,0.0
0,17,4.0,0.0
0,18,4.0,0.0
0,19,3.0,0.0
0,20,1.0,0.0
0,21,5.0,0.0
0,22,4.0,0.0
0,23,2.0,0.0
0,24,1.0,0.0
0,25,1.0,0.0
0,26,1.7,0.4830458915396479
0,27,2.0,0.0
0,28,4.0,0.0
0,29,1.7,0.4830458915396479
0,30,2.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,1.0,0.0
1,4,1.0,0.0
1,5,1.0,0.0
1,6,5.0,0.0
1,7,5.0,0.0
1,8,4.0,0.0
1,9,1.0,0.0
1,10,2.9,0.31622776601683794
1,11,5.0,0.0
1,12,5.0,0.0
1,13,5.0,0.0
1,14,4.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,4.4,0.9660917830792959
1,19,2.0,0.0
1,20,1.0,0.0
1,21,5.0,0.0
1,22,4.0,0.0
1,23,2.0,0.0
1,24,1.0,0.0
1,25,1.0,0.0
1,26,0.5,0.5270462766947299
1,27,2.5,0.5270462766947299
1,28,2.4,0.5163977794943223
1,29,1.0,0.0
1,30,2.0,0.0
2,1,5.0,0.0
2,2,5.0,0.0
2,3,2.0,0.0
2,4,2.0,0.0
2,5,2.0,0.0
2,6,5.0,0.0
2,7,5.0,0.0
2,8,3.0,0.0
2,9,2.0,0.0
2,10,4.0,0.0
2,11,5.0,0.0
2,12,5.0,0.0
2,13,3.5,0.5270462766947299
2,14,4.0,0.0
2,15,1.0,0.0
2,16,4.9,0.31622776601683794
2,17,5.0,0.0
2,18,4.0,0.0
2,19,3.6,0.5163977794943223
2,20,2.0,0.0
2,21,5.0,0.0
2,22,4.0,0.0
2,23,2.0,0.0
2,24,1.0,0.0
2,25,1.0,0.0
2,26,2.0,0.0
2,27,4.0,0.0
2,28,2.5,0.5270462766947299
2,29,2.0,0.0
2,30,2.7,0.48304589153964794
3,1,4.0,0.0
3,2,5.0,0.0
3,3,2.0,0.0
3,4,2.0,0.0
3,5,3.0,0.0
3,6,5.0,0.0
3,7,5.0,0.0
3,8,2.5,0.5270462766947299
3,9,2.8,0.4216370213557839
3,10,1.8,0.42163702135578396
3,11,5.0,0.0
3,12,4.1,0.31622776601683794
3,13,2.4,0.5163977794943223
3,14,4.0,0.0
3,15,1.0,0.0
3,16,4.3,0.48304589153964794
3,17,4.9,0.31622776601683794
3,18,5.0,0.0
3,19,3.0,0.0
3,20,2.0,0.0
3,21,5.0,0.0
3,22,4.0,0.0
3,23,2.0,0.0
3,24,2.0,0.0
3,25,1.0,0.0
3,26,2.0,0.0
3,27,3.8,0.4216370213557839
3,28,4.0,0.0
3,29,2.0,0.0
3,30,2.3,0.48304589153964794
4,1,4.0,0.0
4,2,4.0,0.0
4,3,2.0,0.0
4,4,2.5,0.5270462766947299
4,5,2.9,0.31622776601683794
4,6,5.0,0.0
4,7,4.9,0.31622776601683794
4,8,4.6,0.5163977794943222
4,9,3.4,0.5163977794943223
4,10,2.0,0.0
4,11,4.0,0.0
4,12,4.0,0.0
4,13,4.1,0.31622776601683794
4,14,4.0,0.0
4,15,2.4,0.5163977794943223
4,16,4.0,0.0
4,17,4.0,0.0
4,18,3.6,0.5163977794943223
4,19,3.0,0.0
4,20,1.0,0.0
4,21,4.0,0.0
4,22,3.7,0.48304589153964794
4,23,3.2,0.4216370213557839
4,24,4.0,0.0
4,25,1.0,0.0
4,26,1.1,0.31622776601683794
4,27,2.8,0.4216370213557839
4,28,2.0,0.0
4,29,1.0,0.0
4,30,2.0,0.0
5,1,3.0,0.0
5,2,4.0,0.0
5,3,1.0,0.0
5,4,2.0,0.0
5,5,1.0,0.0
5,6,4.0,0.0
5,7,4.0,0.0
5,8,2.0,0.0
5,9,1.0,0.0
5,10,1.0,0.0
5,11,3.0,0.0
5,12,4.6,0.5163977794943222
5,13,1.1,0.31622776601683794
5,14,5.0,0.0
5,15,0.0,0.0
5,16,3.0,0.0
5,17,4.0,0.0
5,18,4.0,0.0
5,19,3.0,0.0
5,20,1.0,0.0
5,21,5.0,0.0
5,22,3.1,0.31622776601683794
5,23,2.0,0.0
5,24,0.9,0.31622776601683794
5,25,0.2,0.42163702135578396
5,26,1.0,0.0
5,27,3.0,0.0
5,28,4.0,0.0
5,29,1.2,0.4216370213557839
5,30,2.0,0.0
6,1,5.0,0.0
6,2,5.0,0.0
6,3,2.0,0.0
6,4,1.0,0.0
6,5,2.0,0.0
