persona,question,average_score,standard_deviation
2,1,4.0,0.0
2,2,4.8,0.4216370213557839
2,3,4.0,0.0
2,4,3.2,0.4216370213557839
2,5,4.0,0.0
2,6,4.0,0.0
2,7,4.0,0.0
2,8,4.0,0.0
2,9,4.0,0.0
2,10,4.0,0.0
2,11,4.0,0.0
2,12,4.0,0.0
2,13,4.0,0.0
2,14,4.0,0.0
2,15,4.0,0.0
2,16,4.0,0.0
2,17,4.3,0.48304589153964794
2,18,4.0,0.0
2,19,4.0,0.0
2,20,4.0,0.0
2,21,5.0,0.0
2,22,4.0,0.0
2,23,4.0,0.0
2,24,2.0,0.0
2,25,2.0,0.0
2,26,0.8,1.0327955589886446
2,27,2.0,0.0
2,28,4.0,0.0
2,29,4.0,0.0
2,30,4.0,0.0
3,1,4.0,0.0
3,2,4.0,0.0
3,3,4.0,0.0
3,4,2.9,0.31622776601683794
3,5,4.0,0.0
3,6,4.8,0.4216370213557839
3,7,4.6,0.5163977794943222
3,8,4.0,0.0
3,9,4.0,0.0
3,10,4.0,0.0
3,11,4.0,0.0
3,12,4.0,0.0
3,13,3.8,0.4216370213557839
3,14,4.0,0.0
3,15,4.0,0.0
3,16,5.0,0.0
3,17,4.0,0.0
3,18,4.0,0.0
3,19,4.0,0.0
3,20,4.0,0.0
3,21,5.0,0.0
3,22,4.0,0.0
3,23,4.0,0.0
3,24,3.0,0.0
3,25,2.0,0.0
3,26,2.0,0.0
3,27,2.0,0.0
3,28,4.0,0.0
3,29,3.4,0.5163977794943223
3,30,2.7,0.48304589153964794
4,1,4.0,0.0
4,2,4.0,0.0
4,3,4.0,0.0
4,4,4.0,0.0
4,5,4.0,0.0
4,6,4.0,0.0
4,7,4.0,0.0
4,8,4.0,0.0
4,9,4.0,0.0
4,10,4.0,0.0
4,11,4.0,0.0
4,12,4.0,0.0
4,13,4.0,0.0
4,14,4.0,0.0
4,15,4.0,0.0
4,16,4.0,0.0
4,17,4.0,0.0
4,18,4.0,0.0
4,19,4.0,0.0
4,20,3.2,0.4216370213557839
4,21,4.0,0.0
4,22,4.0,0.0
4,23,4.0,0.0
4,24,4.0,0.0
4,25,2.0,0.0
4,26,2.0,0.0
4,27,2.0,0.0
4,28,4.0,0.0
4,29,4.0,0.0
4,30,4.0,0.0
5,1,3.0,0.0
5,2,4.0,0.0
5,3,3.0,0.0
5,4,2.0,0.0
5,5,1.8,0.6324555320336759
5,6,3.4,0.5163977794943223
5,7,4.0,0.0
5,8,4.0,0.0
5,9,2.0,0.0
5,10,2.0,0.0
5,11,2.9,0.31622776601683794
5,12,4.0,0.0
5,13,2.0,0.0
5,14,4.0,0.0
5,15,2.3,0.6749485577105528
5,16,4.0,0.0
5,17,4.0,0.0
5,18,4.0,0.0
5,19,4.0,0.0
5,20,2.0,0.0
5,21,4.0,0.0
5,22,3.5,0.5270462766947299
5,23,3.0,0.0
5,24,2.0,0.0
5,25,2.0,0.0
5,26,2.0,0.0
5,27,2.0,0.0
5,28,4.0,0.0
5,29,3.9,0.31622776601683794
5,30,2.0,0.0
6,1,4.0,0.0
6,2,4.6,0.5163977794943222
6,3,4.0,0.0
6,4,3.0,0.0
6,5,4.0,0.0
6,6,5.0,0.0
6,7,5.0,0.0
6,8,4.0,0.0
6,9,4.0,0.0
6,10,4.0,0.0
6,11,4.0,0.0
6,12,5.0,0.0
6,13,3.9,0.31622776601683794
6,14,4.0,0.0
6,15,4.0,0.0
6,16,5.0,0.0
6,17,5.0,0.0
6,18,4.0,0.0
6,19,4.0,0.0
6,20,4.0,0.0
6,21,5.0,0.0
6,22,4.8,0.4216370213557839
6,23,4.0,0.0
6,24,2.0,0.0
6,25,2.0,0.0
6,26,4.7,0.48304589153964794
6,27,3.0,0.0
6,28,4.0,0.0
6,29,4.0,0.0
6,30,4.0,0.0
7,1,4.0,0.0
7,2,4.0,0.0
7,3,4.0,0.0
7,4,4.0,0.0
7,5,4.0,0.0
7,6,4.4,0.5163977794943222
7,7,4.0,0.0
7,8,4.0,0.0
7,9,4.0,0.0
7,10,4.0,0.0
7,11,4.0,0.0
7,12,4.0,0.0
7,13,4.0,0.0
7,14,4.0,0.0
7,15,4.0,0.0
7,16,5.0,0.0
7,17,4.0,0.0
7,18,4.0,0.0
7,19,4.0,0.0
7,20,4.0,0.0
7,21,5.0,0.0
7,22,4.0,0.0
7,23,4.0,0.0
7,24,3.0,0.0
7,25,3.0,0.0
7,26,4.0,0.0
7,27,4.0,0.0
7,28,4.0,0.0
7,29,4.0,0.0
7,30,4.0,0.0
8,1,3.0,0.0
8,2,4.0,0.0
8,3,4.0,0.0
8,4,2.0,0.0
8,5,3.0,0.6666666666666666
8,6,4.0,0.0
8,7,4.0,0.0
8,8,3.8,0.4216370213557839
8,9,4.0,0.0
8,10,3.2,0.4216370213557839
8,11,3.0,0.0
8,12,4.0,0.0
8,13,3.6,0.5163977794943223
8,14,4.0,0.0
8,15,3.5,0.5270462766947299
8,16,4.0,0.0
8,17,4.0,0.0
8,18,4.0,0.0
8,19,4.0,0.0
8,20,2.4,0.8432740427115678
8,21,2.2,0.6324555320336759
8,22,4.0,0.0
8,23,4.0,0.0
8,24,2.6,0.9660917830792958
8,25,0.5,0.5270462766947299
8,26,0.7,0.48304589153964794
8,27,2.0,0.0
8,28,4.0,0.0
8,29,4.0,0.0
8,30,2.4,0.8432740427115679
9,1,2.4,0.5163977794943223
9,2,3.3,0.48304589153964794
9,3,2.0,0.0
9,4,2.0,0.0
9,5,2.0,0.0
9,6,4.0,0.0
9,7,3.0,0.0
9,8,2.9,0.31622776601683794
9,9,2.0,0.0
9,10,2.0,0.0
9,11,2.9,0.31622776601683794
9,12,3.2,0.4216370213557839
9,13,3.0,0.0
9,14,2.8,0.4216370213557839
9,15,2.0,0.0
9,16,4.0,0.0
9,17,4.0,0.0
9,18,3.0,0.0
9,19,3.0,0.0
9,20,2.1,0.31622776601683794
9,21,4.0,0.0
