model,robustness,robustness_uncertainty,susceptibility,susceptibility_uncertainty
claude-haiku-4-5,91.62198401349774,10.852458392483141,0.6377977715755874,0.027999921886604526
claude-sonnet-4-5,108.44413725871172,14.226056064866729,0.6311285193952473,0.03557191220120765
deepseek-v3,3.3337222303540144,0.06426981519647043,0.5839964746337276,0.029905030749515255
deepseek-v3.1,4.281461835892335,0.11044601041549139,0.6646776453883977,0.030550862473431622
gemini-2.5-flash,10.310543506621315,0.42612038108756234,0.8361017238970526,0.042190297771936856
gemini-2.5-flash-lite,28.37977535971223,1.925887737531458,0.7078379091601574,0.030950583947358744
gpt-4.1,14.759485514710581,0.6757036211229063,0.6860881150781372,0.038166907714689405
gpt-4.1-mini,11.651907259176276,0.4758356964546752,0.7001389475733335,0.03114351460691552
gpt-4.1-nano,12.542675526535616,0.6465598497508493,0.5670742915405791,0.045574529034732456
gpt-4o,9.997895185064632,0.35493298325714856,0.6814065263648574,0.029608282782014692
gpt-4o-mini,13.587517607449072,0.6235389704213399,0.549761306407562,0.03090868750788191
gpt-5,6.0510684984605,0.15382076827462068,0.5067919012683127,0.029825861938560492
gpt-5-mini,4.69138183924113,0.09501867396764446,0.47846751710119667,0.023233230858125176
gpt-5-nano,1.6072665693562072,0.017188867444580452,0.44119442198806214,0.024210945901674857
grok-4,3.3799486625678057,0.05852490611649019,0.6800307077877311,0.030160220451610546
grok-4-fast,3.450777690286296,0.06531205834153683,0.7549806165026451,0.0290018743096996
llama-4-maverick,4.497620713499447,0.10931079985243261,0.6092588645486348,0.026938615624632355
llama-4-scout,4.700474247813297,0.1449664359169165,0.5402056637463171,0.023446891951317064
