persona_id,persona_name,claude-haiku-4-5,deepseek-chat-v3.1,gemini-2.5-flash,gemini-2.5-flash-lite,gpt-4o,gpt-4o-mini,gpt-5,gpt-5-nano,llama-4-scout,total_failures
36,A fellow annoyed spouse who commiserates and shares funny anecdotes about their partners' obsessions,0.0,7.0,300.0,0.0,0.0,0.0,2.0,0.0,1.0,310.0
38,A talented artist who captures the fighter's journey through powerful illustrations,0.0,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0
34,A dedicated chef always hunting for the perfect ingredients to improve their Mediterranean cuisine recipes,0.0,1.0,300.0,0.0,0.0,0.0,0.0,2.0,0.0,303.0
35,A young woman who is overwhelmed with the idea of planning her own wedding,0.0,1.0,300.0,0.0,0.0,0.0,0.0,1.0,0.0,302.0
37,A retired principal of a Fresh Start school in England.,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
33,A filmmaker who incorporates shadow play in their movies to create a mysterious atmosphere,0.0,2.0,242.0,0.0,0.0,0.0,0.0,0.0,1.0,245.0
39,A government official who consults the political scientist for expertise on crafting effective policy narratives,0.0,8.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0
71,A renowned microbiologist who pioneered the field of bacterial metabolic engineering for biofuel,125.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,127.0
94,A curriculum developer designing language courses that integrate effective pronunciation instruction,0.0,2.0,0.0,67.0,4.0,30.0,2.0,0.0,0.0,105.0
66,A researcher who studies moose populations and provides insights on conservation efforts,0.0,3.0,1.0,30.0,6.0,60.0,0.0,1.0,0.0,101.0
