persona_id,question_id,run_index,rating,response,collected_at
0,1,1,-1,ERROR,2025-10-21T14:03:31.320286
0,1,2,-1,ERROR,2025-10-21T14:03:33.332904
0,1,3,-1,ERROR,2025-10-21T14:03:36.816220
0,1,4,-1,ERROR,2025-10-21T14:03:39.016829
0,1,1,4,4,2025-10-21T14:06:26.400368
0,1,2,4,4,2025-10-21T14:06:28.448407
0,1,3,4,4,2025-10-21T14:06:30.586143
0,1,4,4,4,2025-10-21T14:06:32.594142
0,1,5,4,4,2025-10-21T14:06:35.305793
0,1,6,4,4,2025-10-21T14:06:38.255458
0,1,7,4,4,2025-10-21T14:06:45.371652
0,1,8,4,4,2025-10-21T14:06:47.259098
0,1,9,4,4,2025-10-21T14:06:49.568559
0,1,10,4,4,2025-10-21T14:06:51.536175
0,2,1,4,4,2025-10-21T14:06:53.327320
0,2,2,4,4,2025-10-21T14:06:55.320327
0,2,3,4,4,2025-10-21T14:06:57.466819
0,2,4,4,4,2025-10-21T14:06:59.959692
0,2,5,4,4,2025-10-21T14:07:02.109243
0,2,6,4,4,2025-10-21T14:07:04.005526
0,2,7,4,4,2025-10-21T14:07:05.994309
0,2,8,4,4,2025-10-21T14:07:08.239177
0,2,9,4,4,2025-10-21T14:07:10.389577
0,2,10,4,4,2025-10-21T14:07:12.837825
0,3,1,1,1,2025-10-21T14:07:15.230135
0,3,2,1,1,2025-10-21T14:07:17.419659
0,3,3,1,1,2025-10-21T14:07:19.711379
0,3,4,1,1,2025-10-21T14:07:22.014591
0,3,5,1,1,2025-10-21T14:07:24.214583
0,3,6,1,1,2025-10-21T14:07:26.596340
0,3,7,1,1,2025-10-21T14:07:29.221954
0,3,8,1,1,2025-10-21T14:07:32.134467
0,3,9,1,1,2025-10-21T14:07:34.417527
0,3,10,1,1,2025-10-21T14:07:36.404408
0,4,1,2,2,2025-10-21T14:07:38.571584
0,4,2,2,2,2025-10-21T14:07:40.582556
0,4,3,2,2,2025-10-21T14:07:42.952681
0,4,4,2,2,2025-10-21T14:07:45.013275
0,4,5,2,2,2025-10-21T14:07:47.000502
0,4,6,2,2,2025-10-21T14:07:48.897565
0,4,7,2,2,2025-10-21T14:07:51.056909
0,4,8,2,2,2025-10-21T14:07:53.471302
0,4,9,2,2,2025-10-21T14:07:55.440104
0,4,10,2,2,2025-10-21T14:07:57.976363
0,5,1,1,1,2025-10-21T14:08:00.432615
0,5,2,1,1,2025-10-21T14:08:02.928944
0,5,3,1,1,2025-10-21T14:08:05.026154
0,5,4,1,1,2025-10-21T14:08:07.151009
0,5,5,1,1,2025-10-21T14:08:09.223155
0,5,6,1,1,2025-10-21T14:08:11.321630
0,5,7,1,1,2025-10-21T14:08:15.621844
0,5,8,1,1,2025-10-21T14:08:17.642269
0,5,9,1,1,2025-10-21T14:08:19.805971
0,5,10,1,1,2025-10-21T14:08:21.763007
0,6,1,3,3,2025-10-21T14:08:24.075945
