persona_id,question_id,average_score,standard_deviation
0,1,4.0,0.6666666666666666
0,2,4.5,0.5270462766947299
0,3,3.8,0.9189365834726815
0,4,3.2,0.6324555320336759
0,5,3.9,0.5676462121975467
0,6,3.6,0.5163977794943223
0,7,4.3,0.48304589153964794
0,8,3.8,0.4216370213557839
0,9,3.4,0.5163977794943223
0,10,3.6,0.6992058987801011
0,11,3.6,0.6992058987801011
0,12,4.3,0.48304589153964794
0,13,3.5,0.5270462766947299
0,14,4.4,0.5163977794943222
0,15,3.5,0.97182531580755
0,16,3.4,1.3498971154211057
0,17,4.0,0.0
0,18,4.0,0.0
0,19,3.1,0.5676462121975466
0,20,2.9,0.5676462121975467
0,21,1.6,1.505545305418162
0,22,4.1,0.5676462121975466
0,23,3.3,0.8232726023485646
0,24,2.6,1.1737877907772674
0,25,2.5,1.2692955176439846
0,26,1.2,1.3165611772087666
0,27,2.4,0.8432740427115678
0,28,3.9,0.31622776601683794
0,29,3.4,1.07496769977314
0,30,2.1,0.8755950357709131
1,1,5.0,0.0
1,2,5.0,0.0
1,3,5.0,0.0
1,4,5.0,0.0
1,5,4.6,0.699205898780101
1,6,5.0,0.0
1,7,4.9,0.31622776601683794
1,8,5.0,0.0
1,9,5.0,0.0
1,10,5.0,0.0
1,11,4.9,0.31622776601683794
1,12,5.0,0.0
1,13,4.9,0.31622776601683794
1,14,5.0,0.0
1,15,4.8,0.4216370213557839
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,4.9,0.31622776601683794
1,20,5.0,0.0
1,21,4.9,0.31622776601683794
1,22,5.0,0.0
1,23,5.0,0.0
1,24,4.9,0.31622776601683794
1,25,4.4,0.8432740427115678
1,26,4.2,1.6193277068654823
1,27,3.2,2.2997584414213788
1,28,5.0,0.0
1,29,5.0,0.0
1,30,5.0,0.0
2,1,3.9,0.5676462121975466
2,2,4.3,0.48304589153964794
2,3,4.1,0.31622776601683794
2,4,3.8,0.6324555320336759
2,5,3.9,0.5676462121975467
2,6,4.1,0.31622776601683794
2,7,4.3,0.48304589153964794
2,8,3.9,0.31622776601683794
2,9,3.8,0.4216370213557839
2,10,3.6,0.5163977794943223
2,11,4.2,0.4216370213557839
2,12,4.4,0.5163977794943222
2,13,3.6,0.5163977794943223
2,14,4.2,0.4216370213557839
2,15,4.2,0.4216370213557839
2,16,4.0,0.4714045207910317
2,17,4.3,0.48304589153964794
2,18,4.0,0.0
2,19,3.9,0.31622776601683794
2,20,3.3,0.9486832980505138
2,21,4.2,0.7888106377466155
2,22,4.1,0.31622776601683794
2,23,3.9,0.31622776601683794
2,24,3.9,0.7378647873726218
2,25,3.1,1.449137674618944
2,26,2.2,1.9888578520235065
2,27,2.9,1.5951314818673865
2,28,4.2,0.6324555320336759
2,29,4.0,0.9428090415820634
2,30,4.0,0.6666666666666666
3,1,4.5,0.7071067811865476
3,2,4.1,0.7378647873726218
3,3,4.0,0.4714045207910317
3,4,4.0,0.9428090415820634
3,5,4.5,0.5270462766947299
3,6,4.4,0.5163977794943222
3,7,4.2,0.4216370213557839
3,8,4.0,0.4714045207910317
3,9,4.2,0.6324555320336759
3,10,3.8,0.6324555320336759
3,11,4.0,0.6666666666666666
3,12,4.4,0.5163977794943222
3,13,4.0,0.6666666666666666
3,14,4.5,0.5270462766947299
3,15,3.7,0.6749485577105528
3,16,4.1,0.31622776601683794
3,17,4.0,0.6666666666666666
3,18,4.5,0.7071067811865476
3,19,3.7,0.48304589153964794
3,20,4.1,0.5676462121975466
3,21,4.4,0.5163977794943222
3,22,4.2,0.4216370213557839
3,23,4.1,0.31622776601683794
3,24,2.6,1.1737877907772671
3,25,2.0,1.1547005383792515
3,26,2.5,1.0801234497346435
3,27,2.2,1.0327955589886444
3,28,4.2,0.6324555320336759
3,29,3.4,1.07496769977314
3,30,3.3,1.1595018087284057
4,1,4.2,0.4216370213557839
4,2,4.4,0.5163977794943222
4,3,4.0,0.0
4,4,3.8,0.4216370213557839
4,5,3.9,0.7378647873726218
4,6,4.6,0.5163977794943222
4,7,4.2,0.4216370213557839
4,8,3.9,0.31622776601683794
4,9,4.1,0.7378647873726218
4,10,3.6,0.5163977794943223
4,11,4.7,0.48304589153964794
4,12,4.1,0.31622776601683794
4,13,3.8,0.4216370213557839
4,14,4.5,0.5270462766947299
4,15,3.9,0.5676462121975466
4,16,3.9,0.31622776601683794
4,17,3.9,0.31622776601683794
4,18,4.2,0.4216370213557839
4,19,4.0,0.0
4,20,3.5,0.5270462766947299
4,21,3.4,0.8432740427115678
4,22,3.8,0.4216370213557839
4,23,3.6,0.6992058987801011
4,24,3.9,0.31622776601683794
4,25,2.6,0.8432740427115678
4,26,2.6,0.9660917830792958
4,27,1.7,0.9486832980505138
4,28,3.6,0.8432740427115679
4,29,3.8,1.1352924243950935
4,30,3.2,0.7888106377466155
5,1,3.6,0.6992058987801011
5,2,4.2,0.7888106377466155
5,3,3.7,0.8232726023485646
5,4,4.0,0.816496580927726
5,5,3.2,1.3165611772087666
5,6,3.0,0.6666666666666666
5,7,3.9,1.1972189997378648
5,8,3.8,0.7888106377466155
5,9,3.9,0.7378647873726218
5,10,3.6,0.8432740427115678
5,11,3.5,0.7071067811865476
5,12,3.9,0.7378647873726218
5,13,3.4,0.5163977794943223
5,14,4.4,0.6992058987801011
5,15,3.8,0.7888106377466155
5,16,3.8,0.4216370213557839
5,17,4.0,0.0
5,18,3.5,0.5270462766947299
5,19,3.7,0.48304589153964794
5,20,3.1,1.286683937707919
5,21,3.2,0.7888106377466155
5,22,3.9,0.31622776601683794
5,23,3.7,0.6749485577105528
5,24,1.9,1.1005049346146119
5,25,2.3,1.3374935098492586
5,26,2.3,1.0593499054713802
5,27,2.1,0.9944289260117533
5,28,3.8,0.4216370213557839
5,29,3.1,1.1972189997378648
5,30,3.0,1.247219128924647
6,1,4.8,0.4216370213557839
6,2,4.9,0.31622776601683794
6,3,4.4,0.5163977794943222
6,4,4.3,0.6749485577105528
6,5,4.6,0.5163977794943222
6,6,4.5,0.5270462766947299
6,7,4.8,0.4216370213557839
6,8,4.3,0.48304589153964794
6,9,4.6,0.5163977794943222
6,10,4.4,0.6992058987801011
6,11,4.7,0.48304589153964794
6,12,4.9,0.31622776601683794
6,13,4.0,0.6666666666666666
6,14,4.3,0.6749485577105528
6,15,4.4,0.5163977794943222
6,16,4.8,0.4216370213557839
6,17,5.0,0.0
6,18,4.5,0.7071067811865476
6,19,4.3,0.8232726023485646
6,20,4.4,0.5163977794943222
6,21,5.0,0.0
6,22,4.7,0.48304589153964794
6,23,4.2,0.4216370213557839
6,24,4.4,0.8432740427115678
6,25,2.7,1.5670212364724212
6,26,3.3,2.3118054512532935
6,27,3.3,1.4944341180973262
6,28,4.5,0.5270462766947299
6,29,3.4,1.429840705968481
6,30,4.3,0.48304589153964794
7,1,4.2,0.6324555320336759
7,2,4.7,0.48304589153964794
7,3,4.0,0.6666666666666666
7,4,3.8,0.7888106377466155
7,5,3.3,0.48304589153964794
7,6,4.3,0.48304589153964794
7,7,4.4,0.5163977794943222
7,8,3.9,0.5676462121975466
7,9,3.7,0.6749485577105528
7,10,4.0,0.816496580927726
7,11,4.1,0.31622776601683794
7,12,4.4,0.5163977794943222
7,13,3.9,0.7378647873726218
7,14,4.2,0.4216370213557839
7,15,3.3,0.48304589153964794
7,16,4.6,0.5163977794943222
7,17,4.2,0.6324555320336759
7,18,4.2,0.4216370213557839
7,19,3.7,0.48304589153964794
7,20,3.7,0.8232726023485646
7,21,4.4,0.5163977794943222
7,22,4.2,0.4216370213557839
7,23,4.0,0.4714045207910317
7,24,3.0,0.9428090415820634
7,25,2.8,0.9189365834726815
7,26,3.2,0.9189365834726815
7,27,2.9,0.8755950357709131
7,28,3.7,0.6749485577105528
7,29,3.5,0.8498365855987975
7,30,3.9,0.31622776601683794
8,1,3.5,1.2692955176439846
8,2,3.7,0.48304589153964794
8,3,4.2,0.6324555320336759
8,4,3.9,0.7378647873726218
8,5,3.4,0.6992058987801011
8,6,3.9,0.31622776601683794
8,7,4.2,0.6324555320336759
8,8,3.6,0.6992058987801011
8,9,3.8,0.4216370213557839
8,10,3.9,0.5676462121975467
8,11,4.1,0.7378647873726218
8,12,4.2,0.4216370213557839
8,13,3.9,0.5676462121975467
8,14,4.1,0.31622776601683794
8,15,3.9,0.7378647873726218
8,16,3.8,0.4216370213557839
8,17,3.8,0.4216370213557839
8,18,4.1,0.31622776601683794
8,19,3.8,0.4216370213557839
8,20,2.8,0.7888106377466155
8,21,3.5,0.5270462766947299
8,22,3.9,0.5676462121975467
8,23,3.8,0.6324555320336759
8,24,3.0,0.4714045207910317
8,25,1.7,1.2516655570345725
8,26,0.9,1.5238839267549948
8,27,2.3,1.3374935098492586
8,28,4.0,0.4714045207910317
8,29,3.6,0.8432740427115679
8,30,2.9,1.1005049346146119
9,1,3.3,0.48304589153964794
9,2,4.0,0.4714045207910317
9,3,3.5,0.5270462766947299
9,4,3.6,0.5163977794943223
9,5,3.6,0.5163977794943223
9,6,4.0,0.0
9,7,4.1,0.31622776601683794
9,8,3.8,0.4216370213557839
9,9,3.4,0.5163977794943223
9,10,3.7,0.48304589153964794
9,11,4.1,0.5676462121975466
9,12,3.6,0.5163977794943223
9,13,3.5,0.5270462766947299
9,14,3.7,0.6749485577105528
9,15,3.5,0.5270462766947299
9,16,3.9,0.31622776601683794
9,17,3.6,0.5163977794943223
9,18,3.6,0.6992058987801011
9,19,3.5,0.5270462766947299
9,20,3.3,0.6749485577105528
9,21,3.9,0.5676462121975466
9,22,3.3,0.6749485577105528
9,23,3.7,0.48304589153964794
9,24,3.0,1.0540925533894598
9,25,2.6,0.6992058987801011
9,26,2.4,0.5163977794943223
9,27,2.4,0.6992058987801011
9,28,3.6,0.5163977794943223
9,29,3.2,0.6324555320336759
9,30,3.0,0.6666666666666666
10,1,4.0,0.4714045207910317
10,2,4.2,0.4216370213557839
10,3,3.2,0.4216370213557839
10,4,3.3,0.48304589153964794
10,5,3.5,0.5270462766947299
10,6,4.2,0.4216370213557839
10,7,4.2,0.4216370213557839
10,8,3.8,0.6324555320336759
10,9,3.8,0.4216370213557839
10,10,3.7,0.48304589153964794
10,11,4.0,0.4714045207910317
10,12,4.0,0.4714045207910317
10,13,3.5,0.5270462766947299
10,14,4.1,0.31622776601683794
10,15,3.5,0.5270462766947299
10,16,4.0,0.4714045207910317
10,17,4.0,0.4714045207910317
10,18,4.0,0.0
10,19,3.7,0.48304589153964794
10,20,3.5,0.7071067811865476
10,21,4.4,0.5163977794943222
10,22,4.3,0.48304589153964794
10,23,4.0,0.0
10,24,4.0,0.6666666666666666
10,25,2.9,0.7378647873726218
10,26,2.6,1.1737877907772674
10,27,2.6,0.6992058987801011
10,28,4.1,0.31622776601683794
10,29,3.0,0.4714045207910317
10,30,3.4,0.6992058987801011
11,1,3.9,0.5676462121975466
11,2,4.5,0.5270462766947299
11,3,3.3,0.6749485577105528
11,4,3.1,0.5676462121975466
11,5,3.5,0.7071067811865476
11,6,4.0,0.6666666666666666
11,7,3.8,0.4216370213557839
11,8,3.7,0.6749485577105528
11,9,3.5,0.8498365855987975
11,10,3.6,0.8432740427115678
11,11,3.4,0.5163977794943223
11,12,4.4,0.5163977794943222
11,13,3.5,0.7071067811865476
11,14,3.6,0.6992058987801011
11,15,3.0,0.4714045207910317
11,16,3.8,0.4216370213557839
11,17,3.2,1.2292725943057183
11,18,2.7,1.636391694484477
11,19,3.1,0.7378647873726218
11,20,2.6,1.1737877907772671
11,21,2.8,1.3165611772087666
11,22,2.6,0.6992058987801011
11,23,2.9,0.7378647873726218
11,24,1.6,1.577621275493231
11,25,2.0,1.3333333333333333
11,26,1.7,1.494434118097326
11,27,1.3,1.4944341180973264
11,28,3.9,0.31622776601683794
11,29,3.1,1.1972189997378648
11,30,1.6,1.5055453054181622
12,1,4.2,0.6324555320336759
12,2,5.0,0.0
12,3,3.5,0.8498365855987975
12,4,3.9,0.7378647873726218
12,5,3.8,0.7888106377466155
12,6,4.8,0.4216370213557839
12,7,4.9,0.31622776601683794
12,8,4.2,0.6324555320336759
12,9,4.4,0.8432740427115678
12,10,4.2,0.4216370213557839
12,11,4.8,0.4216370213557839
12,12,5.0,0.0
12,13,4.6,0.5163977794943222
12,14,4.2,0.4216370213557839
12,15,4.1,0.5676462121975466
12,16,4.6,0.5163977794943222
12,17,4.9,0.31622776601683794
12,18,4.0,0.6666666666666666
12,19,4.0,0.9428090415820634
12,20,3.5,1.5811388300841898
12,21,5.0,0.0
12,22,4.7,0.48304589153964794
12,23,4.2,0.4216370213557839
12,24,2.6,1.2649110640673518
12,25,1.8,1.3984117975602022
12,26,3.2,1.7511900715418263
12,27,2.2,1.398411797560202
12,28,3.8,0.9189365834726815
12,29,2.6,1.2649110640673518
12,30,3.9,1.449137674618944
13,1,4.5,0.5270462766947299
13,2,4.5,0.5270462766947299
13,3,3.6,0.5163977794943223
13,4,3.5,0.5270462766947299
13,5,3.8,0.6324555320336759
13,6,4.4,0.6992058987801011
13,7,4.2,0.4216370213557839
13,8,4.0,0.0
13,9,4.2,0.6324555320336759
13,10,4.1,0.31622776601683794
13,11,4.4,0.5163977794943222
13,12,4.4,0.5163977794943222
13,13,4.0,0.0
13,14,4.3,0.48304589153964794
13,15,3.8,0.6324555320336759
13,16,4.3,0.48304589153964794
13,17,4.3,0.48304589153964794
13,18,3.9,0.31622776601683794
13,19,4.0,0.4714045207910317
13,20,4.0,0.0
13,21,5.0,0.0
13,22,4.0,0.0
13,23,4.1,0.31622776601683794
13,24,4.0,0.816496580927726
13,25,2.7,0.6749485577105528
13,26,3.7,1.4181364924121764
13,27,3.6,0.6992058987801011
13,28,4.4,0.5163977794943222
13,29,3.6,0.8432740427115678
13,30,3.7,0.48304589153964794
14,1,5.0,0.0
14,2,5.0,0.0
14,3,4.8,0.4216370213557839
14,4,4.2,1.5491933384829668
14,5,4.7,0.6749485577105528
14,6,4.9,0.31622776601683794
14,7,4.8,0.4216370213557839
14,8,5.0,0.0
14,9,4.9,0.31622776601683794
14,10,5.0,0.0
14,11,4.9,0.31622776601683794
14,12,5.0,0.0
14,13,5.0,0.0
14,14,5.0,0.0
14,15,4.7,0.6749485577105528
14,16,4.8,0.4216370213557839
14,17,5.0,0.0
14,18,5.0,0.0
14,19,4.5,0.97182531580755
14,20,4.4,1.577621275493231
14,21,4.9,0.31622776601683794
14,22,4.9,0.31622776601683794
14,23,4.8,0.6324555320336759
14,24,3.8,2.097617696340303
14,25,1.4,1.429840705968481
14,26,3.4,1.8973665961010275
14,27,2.5,2.068278940998476
14,28,5.0,0.0
14,29,3.4,2.0655911179772892
14,30,4.1,1.7288403306519922
15,1,4.2,0.4216370213557839
15,2,4.1,0.5676462121975466
15,3,3.4,0.5163977794943223
15,4,4.0,0.4714045207910317
15,5,3.2,1.2292725943057183
15,6,4.0,0.0
15,7,4.2,0.4216370213557839
15,8,3.8,0.4216370213557839
15,9,3.3,0.48304589153964794
15,10,3.7,0.6749485577105528
15,11,3.9,0.31622776601683794
15,12,4.2,0.6324555320336759
15,13,3.2,0.4216370213557839
15,14,4.0,0.4714045207910317
15,15,3.7,0.48304589153964794
15,16,4.0,0.0
15,17,4.1,0.31622776601683794
15,18,3.5,1.0801234497346435
15,19,3.8,0.4216370213557839
15,20,2.7,0.8232726023485646
15,21,4.5,0.5270462766947299
15,22,4.0,0.0
15,23,3.5,0.7071067811865476
15,24,2.5,1.0801234497346435
15,25,1.5,1.35400640077266
15,26,1.1,1.286683937707919
15,27,2.5,0.5270462766947299
15,28,3.7,0.48304589153964794
15,29,2.7,0.8232726023485646
15,30,3.7,0.8232726023485646
16,1,3.7,0.48304589153964794
16,2,3.5,0.5270462766947299
16,3,3.5,0.5270462766947299
16,4,3.4,0.6992058987801011
16,5,3.7,0.48304589153964794
16,6,3.8,0.4216370213557839
16,7,3.7,0.48304589153964794
16,8,3.8,0.4216370213557839
16,9,3.4,0.6992058987801011
16,10,3.3,0.48304589153964794
16,11,3.9,0.31622776601683794
16,12,3.8,0.4216370213557839
16,13,3.7,0.48304589153964794
16,14,3.7,0.48304589153964794
16,15,3.6,0.5163977794943223
16,16,3.6,0.5163977794943223
16,17,3.6,0.8432740427115679
16,18,3.1,1.286683937707919
16,19,3.2,0.7888106377466155
16,20,3.2,0.7888106377466155
16,21,3.2,1.8135294011647258
16,22,3.1,0.5676462121975467
16,23,3.3,1.2516655570345725
16,24,3.2,0.4216370213557839
16,25,4.0,0.6666666666666666
16,26,3.1,1.286683937707919
16,27,3.2,0.6324555320336759
16,28,3.5,0.7071067811865476
16,29,3.0,1.247219128924647
16,30,3.6,0.5163977794943223
17,1,4.1,0.31622776601683794
17,2,5.0,0.0
17,3,4.7,0.48304589153964794
17,4,4.2,0.6324555320336759
17,5,4.0,0.4714045207910317
17,6,4.7,0.6749485577105528
17,7,4.5,0.5270462766947299
17,8,3.9,0.5676462121975467
17,9,4.2,0.4216370213557839
17,10,3.8,0.6324555320336759
17,11,4.1,0.5676462121975466
17,12,4.6,0.5163977794943222
17,13,3.9,0.5676462121975467
17,14,4.4,0.5163977794943222
17,15,4.0,0.4714045207910317
17,16,4.2,0.4216370213557839
17,17,4.5,0.5270462766947299
17,18,4.0,0.6666666666666666
17,19,4.3,0.48304589153964794
17,20,3.4,0.8432740427115678
17,21,4.6,0.5163977794943222
17,22,4.1,0.5676462121975467
17,23,4.0,0.0
17,24,2.8,1.8737959096740262
17,25,1.5,1.0801234497346435
17,26,2.6,1.8973665961010275
17,27,2.1,1.3703203194062978
17,28,4.0,0.0
17,29,2.8,1.398411797560202
17,30,2.3,1.3374935098492586
18,1,4.3,0.48304589153964794
18,2,4.1,0.31622776601683794
18,3,3.6,1.349897115421106
18,4,4.0,0.4714045207910317
18,5,3.7,0.48304589153964794
18,6,4.0,0.4714045207910317
18,7,4.1,0.31622776601683794
18,8,4.0,0.4714045207910317
18,9,3.9,0.8755950357709131
18,10,4.1,0.5676462121975466
18,11,3.9,0.5676462121975466
18,12,4.3,0.6749485577105528
18,13,3.8,0.6324555320336759
18,14,4.1,0.31622776601683794
18,15,4.0,0.4714045207910317
18,16,4.2,0.4216370213557839
18,17,4.2,0.4216370213557839
18,18,4.2,0.4216370213557839
18,19,4.0,0.0
18,20,2.7,1.4181364924121764
18,21,4.6,0.5163977794943222
18,22,4.1,0.5676462121975466
18,23,4.1,0.5676462121975466
18,24,3.5,1.509230856356236
18,25,2.7,1.0593499054713802
18,26,1.7,1.2516655570345725
18,27,2.6,0.8432740427115678
18,28,4.1,0.31622776601683794
18,29,3.3,1.636391694484477
18,30,3.9,0.5676462121975467
19,1,4.3,0.48304589153964794
19,2,4.2,0.4216370213557839
19,3,4.0,0.0
19,4,3.8,0.6324555320336759
19,5,3.6,0.5163977794943223
19,6,3.9,0.5676462121975467
19,7,4.2,0.4216370213557839
19,8,3.7,0.6749485577105528
19,9,3.9,0.5676462121975466
19,10,3.5,0.5270462766947299
19,11,4.2,0.6324555320336759
19,12,4.1,0.31622776601683794
19,13,3.4,0.5163977794943223
19,14,4.0,0.6666666666666666
19,15,3.8,0.4216370213557839
19,16,4.1,0.31622776601683794
19,17,4.2,0.4216370213557839
19,18,4.0,0.0
19,19,4.0,0.0
19,20,3.6,0.6992058987801011
19,21,4.4,0.6992058987801011
19,22,4.2,0.4216370213557839
19,23,3.9,0.31622776601683794
19,24,3.9,0.31622776601683794
19,25,3.2,0.7888106377466155
19,26,2.4,0.8432740427115678
19,27,3.0,0.816496580927726
19,28,3.9,0.31622776601683794
19,29,4.0,0.4714045207910317
19,30,3.8,0.4216370213557839
20,1,3.6,0.5163977794943223
20,2,3.8,0.4216370213557839
20,3,3.3,0.48304589153964794
20,4,3.5,0.5270462766947299
20,5,3.1,0.31622776601683794
20,6,3.6,0.5163977794943223
20,7,4.0,0.4714045207910317
20,8,3.4,0.6992058987801011
20,9,3.5,0.5270462766947299
20,10,3.5,0.5270462766947299
20,11,3.5,0.5270462766947299
20,12,3.6,0.5163977794943223
20,13,3.3,0.48304589153964794
20,14,3.7,0.48304589153964794
20,15,3.3,0.48304589153964794
20,16,3.8,0.6324555320336759
20,17,4.0,0.0
20,18,3.6,0.5163977794943223
20,19,3.9,0.31622776601683794
20,20,3.2,1.2292725943057183
20,21,3.9,0.7378647873726218
20,22,3.3,0.6749485577105528
20,23,3.8,0.4216370213557839
20,24,3.2,1.0327955589886446
20,25,2.5,0.8498365855987975
20,26,2.2,1.8135294011647258
20,27,2.4,1.0749676997731399
20,28,3.8,0.4216370213557839
20,29,3.2,0.4216370213557839
20,30,3.4,0.6992058987801011
21,1,4.1,0.5676462121975466
21,2,4.3,0.48304589153964794
21,3,3.6,0.6992058987801011
21,4,3.3,0.48304589153964794
21,5,2.9,0.31622776601683794
21,6,4.3,0.6749485577105528
21,7,4.2,0.4216370213557839
21,8,4.0,0.4714045207910317
21,9,3.5,0.5270462766947299
21,10,3.8,0.6324555320336759
21,11,4.0,0.4714045207910317
21,12,4.0,0.4714045207910317
21,13,3.2,0.4216370213557839
21,14,3.8,0.6324555320336759
21,15,3.3,0.6749485577105528
21,16,3.9,0.31622776601683794
21,17,4.2,0.4216370213557839
21,18,4.0,0.4714045207910317
21,19,3.7,0.48304589153964794
21,20,3.1,0.7378647873726218
21,21,4.1,0.31622776601683794
21,22,4.0,0.0
21,23,3.8,0.6324555320336759
21,24,3.0,0.4714045207910317
21,25,1.8,0.7888106377466155
21,26,1.7,1.8885620632287057
21,27,2.5,0.7071067811865476
21,28,3.5,0.5270462766947299
21,29,3.0,0.4714045207910317
21,30,3.2,0.6324555320336759
22,1,3.9,0.7378647873726218
22,2,4.0,0.0
22,3,3.4,0.5163977794943223
22,4,3.4,0.5163977794943223
22,5,3.9,0.5676462121975466
22,6,3.9,0.5676462121975467
22,7,4.2,0.4216370213557839
22,8,3.7,0.48304589153964794
22,9,3.8,0.7888106377466155
22,10,3.4,0.6992058987801011
22,11,3.6,0.5163977794943223
22,12,3.9,0.31622776601683794
22,13,3.8,0.6324555320336759
22,14,4.1,0.31622776601683794
22,15,3.3,0.48304589153964794
22,16,4.0,0.0
22,17,4.0,0.0
22,18,3.9,0.31622776601683794
22,19,3.8,0.4216370213557839
22,20,3.3,0.8232726023485646
22,21,4.1,0.7378647873726218
22,22,3.9,0.31622776601683794
22,23,3.9,0.31622776601683794
22,24,2.9,1.1005049346146119
22,25,2.6,0.5163977794943223
22,26,2.3,1.1595018087284057
22,27,2.6,0.5163977794943223
22,28,3.8,0.4216370213557839
