persona_id,question_id,average_score,standard_deviation
0,1,2.7,0.48304589153964794
0,2,4.7,0.48304589153964794
0,3,1.3,0.674948557710553
0,4,1.2,0.42163702135578396
0,5,1.2,0.4216370213557839
0,6,3.2,0.4216370213557839
0,7,4.0,0.0
0,8,2.1,0.5676462121975466
0,9,1.2,0.4216370213557839
0,10,1.2,0.42163702135578396
0,11,3.2,0.4216370213557839
0,12,4.7,0.48304589153964794
0,13,1.5,0.5270462766947299
0,14,3.5,0.5270462766947299
0,15,0.2,0.42163702135578396
0,16,4.1,0.31622776601683794
0,17,5.0,0.0
0,18,3.4,0.5163977794943223
0,19,3.9,0.31622776601683794
0,20,3.0,0.0
0,21,5.0,0.0
0,22,4.7,0.48304589153964794
0,23,3.0,0.0
0,24,0.7,0.674948557710553
0,25,0.0,0.0
0,26,4.4,0.9660917830792959
0,27,3.0,0.0
0,28,3.7,0.48304589153964794
0,29,3.0,0.0
0,30,3.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,2.2,0.4216370213557839
1,4,1.9,0.7378647873726218
1,5,2.1,0.5676462121975467
1,6,5.0,0.0
1,7,5.0,0.0
1,8,4.0,0.0
1,9,1.3,0.4830458915396479
1,10,2.7,0.48304589153964794
1,11,5.0,0.0
1,12,5.0,0.0
1,13,2.2,0.4216370213557839
1,14,3.5,0.5270462766947299
1,15,1.2,1.3165611772087666
1,16,5.0,0.0
1,17,5.0,0.0
1,18,3.0,0.0
1,19,3.5,0.5270462766947299
1,20,2.8,0.4216370213557839
1,21,5.0,0.0
1,22,4.0,0.0
1,23,3.0,0.0
1,24,0.6,0.5163977794943222
1,25,1.2,0.9189365834726815
1,26,2.2,0.4216370213557839
1,27,3.0,0.0
1,28,3.0,0.0
1,29,2.6,0.5163977794943223
1,30,3.0,0.0
2,1,4.3,0.48304589153964794
2,2,4.8,0.4216370213557839
2,3,1.7,0.6749485577105528
2,4,2.0,0.0
2,5,1.9,0.5676462121975467
2,6,4.4,0.5163977794943222
2,7,4.5,0.5270462766947299
2,8,2.5,0.5270462766947299
2,9,1.7,0.4830458915396479
2,10,2.3,0.48304589153964794
2,11,4.9,0.31622776601683794
2,12,4.7,0.48304589153964794
2,13,2.4,0.5163977794943223
2,14,3.0,0.0
2,15,0.7,0.8232726023485646
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.0,0.0
2,19,4.0,0.0
2,20,3.0,0.0
2,21,5.0,0.0
2,22,4.9,0.31622776601683794
2,23,3.0,0.0
2,24,0.8,1.0327955589886446
2,25,1.5,0.5270462766947299
2,26,3.4,0.5163977794943223
2,27,3.0,0.0
2,28,3.3,0.48304589153964794
2,29,3.0,0.0
2,30,3.0,0.0
3,1,4.8,0.4216370213557839
3,2,4.6,0.5163977794943222
3,3,1.4,0.8432740427115678
3,4,1.8,0.42163702135578396
3,5,1.8,0.7888106377466155
3,6,5.0,0.0
3,7,4.0,0.0
3,8,2.4,0.5163977794943223
3,9,2.4,0.5163977794943223
3,10,1.4,0.5163977794943223
3,11,5.0,0.0
3,12,4.8,0.4216370213557839
3,13,1.9,0.31622776601683794
3,14,3.9,0.31622776601683794
3,15,0.6,1.2649110640673518
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,3.9,0.31622776601683794
3,20,2.2,0.4216370213557839
3,21,5.0,0.0
3,22,4.3,0.48304589153964794
3,23,3.0,0.0
3,24,2.1,0.31622776601683794
3,25,0.6,0.9660917830792959
3,26,3.6,0.9660917830792958
3,27,3.0,0.0
3,28,3.0,0.0
3,29,2.4,0.5163977794943223
3,30,3.0,0.0
4,1,4.0,0.0
4,2,5.0,0.0
4,3,2.1,0.31622776601683794
4,4,2.6,0.5163977794943223
4,5,3.4,0.5163977794943223
4,6,5.0,0.0
4,7,5.0,0.0
4,8,4.5,0.5270462766947299
4,9,4.5,0.5270462766947299
4,10,2.6,0.5163977794943223
4,11,5.0,0.0
4,12,4.0,0.0
4,13,4.0,0.0
4,14,4.0,0.0
4,15,3.9,0.31622776601683794
4,16,4.3,0.48304589153964794
4,17,4.8,0.4216370213557839
4,18,3.3,0.48304589153964794
4,19,3.7,0.48304589153964794
4,20,2.0,0.0
4,21,5.0,0.0
4,22,4.0,0.0
4,23,3.3,0.48304589153964794
4,24,3.4,0.5163977794943223
4,25,0.4,0.8432740427115679
4,26,2.2,0.4216370213557839
4,27,3.0,0.0
