persona_id,question_id,average_score,standard_deviation
0,1,4.0,0.0
0,2,5.0,0.0
0,3,1.8,0.4216370213557839
0,4,2.0,0.0
0,5,1.6,0.5163977794943223
0,6,4.0,0.0
0,7,4.0,0.0
0,8,2.1,0.31622776601683794
0,9,2.0,0.0
0,10,1.9,0.31622776601683794
0,11,3.5,0.5270462766947299
0,12,5.0,0.0
0,13,2.0,0.0
0,14,3.3,0.48304589153964794
0,15,1.8,0.42163702135578396
0,16,3.9,0.31622776601683794
0,17,4.0,0.0
0,18,3.7,0.48304589153964794
0,19,3.0,0.0
0,20,2.0,0.0
0,21,5.0,0.0
0,22,4.0,0.0
0,23,2.9,0.31622776601683794
0,24,2.7,0.48304589153964794
0,25,1.7,0.4830458915396479
0,26,4.0,0.0
0,27,4.0,0.0
0,28,4.0,0.0
0,29,2.8,0.4216370213557839
0,30,2.6,0.5163977794943223
1,1,4.9,0.31622776601683794
1,2,5.0,0.0
1,3,2.0,0.0
1,4,2.2,0.4216370213557839
1,5,2.0,0.0
1,6,5.0,0.0
1,7,5.0,0.0
1,8,4.0,0.0
1,9,2.4,0.5163977794943223
1,10,2.8,0.4216370213557839
1,11,5.0,0.0
1,12,5.0,0.0
1,13,3.8,0.4216370213557839
1,14,4.0,0.0
1,15,1.8,0.42163702135578396
1,16,5.0,0.0
1,17,5.0,0.0
1,18,4.0,0.0
1,19,3.0,0.0
1,20,3.0,0.0
1,21,5.0,0.0
1,22,4.1,0.31622776601683794
1,23,3.0,0.0
1,24,1.9,0.31622776601683794
1,25,1.6,0.5163977794943223
1,26,4.0,0.0
1,27,5.0,0.0
1,28,3.5,0.5270462766947299
1,29,2.1,0.31622776601683794
1,30,3.0,0.0
2,1,4.0,0.0
2,2,5.0,0.0
2,3,2.0,0.0
2,4,2.1,0.31622776601683794
2,5,2.9,0.31622776601683794
2,6,5.0,0.0
2,7,4.5,0.5270462766947299
2,8,2.4,0.5163977794943223
2,9,2.7,0.48304589153964794
2,10,2.3,0.48304589153964794
2,11,4.1,0.31622776601683794
2,12,5.0,0.0
2,13,3.0,0.0
2,14,3.8,0.4216370213557839
2,15,2.8,0.4216370213557839
2,16,4.0,0.0
2,17,5.0,0.0
2,18,4.0,0.0
2,19,3.5,0.5270462766947299
2,20,2.0,0.0
2,21,5.0,0.0
2,22,4.0,0.0
2,23,3.1,0.31622776601683794
2,24,1.9,0.5676462121975466
2,25,2.0,0.0
2,26,4.3,0.48304589153964794
2,27,4.2,0.4216370213557839
2,28,4.0,0.0
2,29,3.0,0.0
2,30,3.0,0.0
3,1,4.0,0.0
3,2,5.0,0.0
3,3,2.0,0.0
3,4,2.6,0.5163977794943223
3,5,2.0,0.0
3,6,5.0,0.0
3,7,4.0,0.0
3,8,2.6,0.5163977794943223
3,9,2.6,0.5163977794943223
3,10,2.0,0.0
3,11,4.0,0.0
3,12,4.6,0.5163977794943222
3,13,2.1,0.31622776601683794
3,14,4.0,0.0
3,15,2.2,0.4216370213557839
3,16,4.9,0.31622776601683794
3,17,5.0,0.0
3,18,4.7,0.48304589153964794
3,19,3.0,0.0
3,20,3.0,0.0
3,21,5.0,0.0
3,22,4.0,0.0
3,23,3.0,0.0
3,24,3.0,0.0
3,25,2.0,0.0
3,26,4.0,0.0
3,27,4.5,0.5270462766947299
3,28,4.0,0.0
3,29,2.4,0.5163977794943223
3,30,3.5,0.5270462766947299
4,1,4.0,0.0
4,2,5.0,0.0
4,3,2.0,0.0
4,4,2.9,0.31622776601683794
4,5,2.9,0.31622776601683794
4,6,5.0,0.0
4,7,4.0,0.0
4,8,3.5,0.5270462766947299
4,9,3.7,0.48304589153964794
4,10,2.0,0.0
4,11,4.1,0.31622776601683794
4,12,4.4,0.5163977794943222
4,13,3.0,0.0
4,14,4.0,0.0
4,15,2.2,0.4216370213557839
4,16,4.0,0.0
4,17,4.8,0.4216370213557839
4,18,4.0,0.0
4,19,3.1,0.31622776601683794
4,20,2.0,0.0
4,21,5.0,0.0
4,22,4.0,0.0
4,23,3.0,0.0
4,24,3.0,0.0
4,25,1.6,0.5163977794943223
4,26,3.8,0.4216370213557839
4,27,4.4,0.5163977794943222
4,28,3.8,0.4216370213557839
4,29,2.3,0.48304589153964794
4,30,2.9,0.31622776601683794
5,1,2.2,0.4216370213557839
5,2,4.1,0.31622776601683794
5,3,1.9,0.31622776601683794
5,4,1.6,0.5163977794943223
5,5,1.1,0.31622776601683794
5,6,4.0,0.0
5,7,3.6,0.5163977794943223
5,8,1.9,0.31622776601683794
5,9,1.2,0.42163702135578396
5,10,1.2,0.4216370213557839
5,11,2.3,0.48304589153964794
5,12,4.1,0.31622776601683794
5,13,1.0,0.0
5,14,3.2,0.6324555320336759
5,15,1.3,0.4830458915396479
5,16,3.7,0.48304589153964794
5,17,4.0,0.0
5,18,3.7,0.6749485577105528
