persona,question,average_score,standard_deviation
2,1,4.0,0.0
2,2,5.0,0.0
2,3,4.0,0.0
2,4,3.0,0.0
2,5,4.0,0.0
2,6,4.0,0.0
2,7,4.0,0.0
2,8,4.0,0.0
2,9,3.0,0.0
2,10,4.0,0.0
2,11,5.0,0.0
2,12,5.0,0.0
2,13,4.0,0.0
2,14,4.0,0.0
2,15,3.0,0.0
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.0,0.0
2,19,4.0,0.0
2,20,4.0,0.0
2,21,5.0,0.0
2,22,5.0,0.0
2,23,4.0,0.0
2,24,2.1,0.31622776601683794
2,25,2.3,0.48304589153964794
2,26,5.0,0.0
2,27,4.0,0.0
2,28,4.0,0.0
2,29,3.0,0.0
2,30,3.0,0.0
3,1,4.0,0.0
3,2,4.0,0.0
3,3,4.0,0.0
3,4,3.0,0.0
3,5,3.0,0.0
3,6,5.0,0.0
3,7,4.0,0.0
3,8,4.0,0.0
3,9,4.0,0.0
3,10,3.0,0.0
3,11,4.0,0.0
3,12,5.0,0.0
3,13,3.0,0.0
3,14,4.0,0.0
3,15,3.0,0.0
3,16,5.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,4.0,0.0
3,20,4.0,0.0
3,21,5.0,0.0
3,22,4.0,0.0
3,23,3.3,0.48304589153964794
3,24,3.0,0.0
3,25,2.4,0.5163977794943223
3,26,5.0,0.0
3,27,4.0,0.0
3,28,4.0,0.0
3,29,2.5,0.5270462766947299
3,30,2.8,0.4216370213557839
4,1,4.0,0.0
4,2,4.1,0.31622776601683794
4,3,4.0,0.0
4,4,4.0,0.0
4,5,4.0,0.0
4,6,5.0,0.0
4,7,4.0,0.0
4,8,4.0,0.0
4,9,4.0,0.0
4,10,3.1,0.31622776601683794
4,11,4.0,0.0
4,12,5.0,0.0
4,13,4.0,0.0
4,14,4.0,0.0
4,15,4.0,0.0
4,16,5.0,0.0
4,17,5.0,0.0
4,18,4.0,0.0
4,19,4.0,0.0
4,20,2.6,0.5163977794943223
4,21,5.0,0.0
4,22,4.0,0.0
4,23,4.0,0.0
4,24,4.0,0.0
4,25,2.0,0.0
4,26,4.0,0.0
4,27,4.0,0.0
4,28,4.0,0.0
4,29,2.2,0.4216370213557839
4,30,3.0,0.0
5,1,3.0,0.0
5,2,3.6,0.5163977794943223
5,3,2.5,0.5270462766947299
5,4,2.0,0.0
5,5,1.8,0.6324555320336759
5,6,3.0,0.0
5,7,3.0,0.0
5,8,3.0,0.0
5,9,2.0,0.0
5,10,0.8,1.0327955589886446
5,11,2.5,0.5270462766947299
5,12,3.0,0.0
5,13,2.0,0.0
5,14,4.0,0.0
5,15,0.0,0.0
5,16,3.2,0.4216370213557839
5,17,5.0,0.0
5,18,4.0,0.0
5,19,3.0,0.0
5,20,2.0,0.0
5,21,5.0,0.0
5,22,3.0,0.0
5,23,2.2,0.4216370213557839
5,24,3.0,0.0
5,25,2.0,0.0
5,26,3.3,0.48304589153964794
5,27,3.0,0.0
5,28,4.0,0.0
5,29,2.0,0.0
5,30,0.0,0.0
6,1,5.0,0.0
6,2,5.0,0.0
6,3,4.0,0.0
6,4,3.0,0.0
6,5,3.5,0.5270462766947299
6,6,5.0,0.0
6,7,4.0,0.0
6,8,4.0,0.0
6,9,3.0,0.0
6,10,4.0,0.0
6,11,5.0,0.0
6,12,5.0,0.0
6,13,3.6,0.5163977794943223
6,14,4.0,0.0
6,15,3.1,0.31622776601683794
6,16,5.0,0.0
6,17,5.0,0.0
6,18,4.0,0.0
6,19,4.0,0.0
6,20,3.0,0.0
6,21,5.0,0.0
6,22,5.0,0.0
6,23,4.0,0.0
6,24,3.0,0.0
6,25,2.0,0.0
6,26,5.0,0.0
6,27,4.3,0.48304589153964794
6,28,4.0,0.0
6,29,2.0,0.0
6,30,3.0,0.0
7,1,4.0,0.0
7,2,4.4,0.5163977794943222
7,3,4.0,0.0
7,4,3.0,0.0
7,5,3.4,0.5163977794943223
7,6,5.0,0.0
7,7,4.0,0.0
7,8,4.0,0.0
7,9,3.0,0.0
7,10,4.0,0.0
7,11,4.1,0.31622776601683794
7,12,5.0,0.0
7,13,4.0,0.0
7,14,4.0,0.0
7,15,3.0,0.0
7,16,5.0,0.0
7,17,5.0,0.0
7,18,5.0,0.0
7,19,3.9,0.31622776601683794
7,20,4.0,0.0
7,21,5.0,0.0
7,22,5.0,0.0
7,23,4.0,0.0
7,24,2.0,0.0
7,25,3.0,0.0
7,26,5.0,0.0
7,27,4.5,0.5270462766947299
7,28,3.6,0.5163977794943223
7,29,2.1,0.31622776601683794
7,30,3.0,0.0
8,1,4.0,0.0
8,2,4.0,0.0
8,3,4.0,0.0
8,4,3.0,0.0
8,5,3.0,0.0
8,6,4.0,0.0
8,7,4.0,0.0
8,8,4.0,0.0
8,9,3.0,0.0
8,10,3.0,0.0
8,11,4.0,0.0
8,12,4.0,0.0
8,13,3.0,0.0
8,14,4.0,0.0
8,15,3.9,0.31622776601683794
8,16,5.0,0.0
8,17,5.0,0.0
8,18,5.0,0.0
8,19,4.0,0.0
8,20,3.0,0.0
8,21,5.0,0.0
8,22,4.0,0.0
8,23,4.0,0.0
8,24,3.0,0.0
8,25,2.0,0.0
8,26,5.0,0.0
8,27,3.1,0.31622776601683794
8,28,4.0,0.0
8,29,3.9,0.31622776601683794
8,30,3.0,0.0
9,1,4.0,0.0
9,2,4.0,0.0
9,3,3.0,0.0
9,4,3.0,0.0
9,5,3.0,0.0
9,6,4.0,0.0
9,7,4.0,0.0
9,8,4.0,0.0
9,9,3.4,0.5163977794943223
9,10,4.0,0.0
9,11,4.0,0.0
9,12,4.0,0.0
9,13,3.1,0.31622776601683794
9,14,4.0,0.0
9,15,3.1,0.31622776601683794
9,16,5.0,0.0
9,17,4.1,0.31622776601683794
9,18,4.0,0.0
9,19,3.2,0.4216370213557839
9,20,4.0,0.0
9,21,5.0,0.0
9,22,4.0,0.0
9,23,3.0,0.0
9,24,3.0,0.0
9,25,3.0,0.0
9,26,5.0,0.0
9,27,4.0,0.0
9,28,3.0,0.0
9,29,3.0,0.0
9,30,3.0,0.0
10,1,4.0,0.0
10,2,4.0,0.0
10,3,4.0,0.0
10,4,3.0,0.0
10,5,4.0,0.0
10,6,5.0,0.0
10,7,4.0,0.0
10,8,4.0,0.0
10,9,3.0,0.0
10,10,3.8,0.4216370213557839
10,11,4.0,0.0
10,12,5.0,0.0
10,13,4.0,0.0
10,14,4.0,0.0
10,15,2.2,0.4216370213557839
10,16,5.0,0.0
10,17,5.0,0.0
10,18,4.0,0.0
10,19,3.9,0.31622776601683794
10,20,4.0,0.0
10,21,5.0,0.0
10,22,5.0,0.0
10,23,3.2,0.4216370213557839
10,24,1.2,1.0327955589886446
10,25,3.0,0.0
10,26,5.0,0.0
10,27,4.1,0.31622776601683794
10,28,3.0,0.0
10,29,1.5,0.5270462766947299
10,30,2.0,0.0
11,1,4.0,0.0
11,2,4.0,0.0
11,3,3.0,0.0
11,4,3.0,0.0
11,5,3.0,0.0
11,6,4.0,0.0
11,7,4.0,0.0
11,8,4.0,0.0
11,9,3.0,0.0
11,10,3.7,0.48304589153964794
11,11,4.0,0.0
11,12,5.0,0.0
11,13,3.0,0.0
11,14,4.0,0.0
11,15,3.0,0.0
11,16,5.0,0.0
11,17,5.0,0.0
11,18,3.0,0.0
11,19,3.0,0.0
11,20,3.0,0.0
11,21,5.0,0.0
11,22,4.0,0.0
11,23,3.0,0.0
11,24,2.0,0.0
11,25,2.0,0.0
11,26,5.0,0.0
11,27,4.0,0.0
11,28,3.6,0.5163977794943223
11,29,1.8,0.4216370213557839
11,30,2.1,0.31622776601683794
12,1,4.9,0.31622776601683794
12,2,5.0,0.0
12,3,3.0,0.0
12,4,3.0,0.0
12,5,3.0,0.0
12,6,5.0,0.0
12,7,4.5,0.5270462766947299
12,8,4.0,0.0
12,9,3.0,0.0
12,10,3.1,0.31622776601683794
12,11,5.0,0.0
12,12,5.0,0.0
12,13,4.0,0.0
12,14,4.0,0.0
12,15,4.0,0.0
12,16,5.0,0.0
12,17,5.0,0.0
12,18,4.0,0.0
12,19,4.0,0.0
12,20,4.0,0.0
12,21,5.0,0.0
12,22,5.0,0.0
12,23,4.0,0.0
