persona,question,average_score,uncertainty,relative_score
0,1,4.0,0.0,1.0
0,2,4.0,0.0,0.40000000000000036
0,3,2.0,0.0,1.0
0,4,3.0,0.0,0.8999999999999999
0,5,3.0,0.0,0.0
0,6,4.0,0.0,1.0
0,7,4.0,0.0,0.0
0,8,4.0,0.0,1.0
0,9,3.0,0.0,0.0
0,10,2.0,0.0,1.0
0,11,3.0,0.0,2.0
0,12,4.2,0.4216370213557839,0.7999999999999998
0,13,3.0,0.0,0.0
0,14,4.0,0.0,0.0
0,15,2.0,0.0,1.2000000000000002
0,16,4.0,0.0,1.0
0,17,5.0,0.0,0.0
0,18,4.0,0.0,0.40000000000000036
0,19,3.0,0.0,1.0
0,20,3.0,0.0,0.7999999999999998
0,21,5.0,0.0,0.0
0,22,4.2,0.4216370213557839,0.7999999999999998
0,23,3.0,0.0,0.10000000000000009
0,24,0.0,0.0,1.5
0,25,2.0,0.0,1.0
0,26,4.0,0.0,1.0
0,27,4.0,0.0,1.0
0,28,4.0,0.0,1.0
0,29,2.0,0.0,1.5
0,30,1.1,1.1972189997378648,2.8
1,1,5.0,0.0,0.0
1,2,4.3,0.48304589153964794,0.10000000000000053
1,3,4.0,0.0,1.0
1,4,3.0,0.0,0.8999999999999999
1,5,3.0,0.0,0.0
1,6,5.0,0.0,0.0
1,7,4.0,0.0,0.0
1,8,4.0,0.0,1.0
1,9,3.0,0.0,0.0
1,10,4.0,0.0,1.0
1,11,5.0,0.0,0.0
1,12,5.0,0.0,0.0
1,13,4.0,0.0,1.0
1,14,4.0,0.0,0.0
1,15,3.0,0.0,0.20000000000000018
1,16,5.0,0.0,0.0
1,17,5.0,0.0,0.0
1,18,3.4,0.5163977794943223,1.0000000000000004
1,19,4.0,0.0,0.0
1,20,4.0,0.0,0.20000000000000018
1,21,5.0,0.0,0.0
1,22,5.0,0.0,0.0
1,23,3.6,0.5163977794943223,0.7000000000000002
1,24,2.0,0.0,0.5
1,25,3.9,0.31622776601683794,0.8999999999999999
1,26,4.2,0.4216370213557839,0.7999999999999998
1,27,4.1,0.31622776601683794,0.9000000000000004
1,28,4.0,0.0,1.0
1,29,4.0,0.0,0.5
1,30,3.0,0.0,0.8999999999999999
2,1,4.0,0.0,1.0
2,2,5.0,0.0,0.5999999999999996
2,3,4.0,0.0,1.0
2,4,3.0,0.0,0.8999999999999999
2,5,4.0,0.0,1.0
2,6,4.0,0.0,1.0
2,7,4.0,0.0,0.0
2,8,4.0,0.0,1.0
2,9,3.0,0.0,0.0
2,10,4.0,0.0,1.0
2,11,5.0,0.0,0.0
2,12,5.0,0.0,0.0
2,13,4.0,0.0,1.0
2,14,4.0,0.0,0.0
2,15,3.0,0.0,0.20000000000000018
2,16,5.0,0.0,0.0
2,17,5.0,0.0,0.0
2,18,4.0,0.0,0.40000000000000036
2,19,4.0,0.0,0.0
2,20,4.0,0.0,0.20000000000000018
2,21,5.0,0.0,0.0
2,22,5.0,0.0,0.0
2,23,4.0,0.0,1.1
2,24,2.1,0.31622776601683794,0.6000000000000001
2,25,2.3,0.48304589153964794,0.7000000000000002
2,26,5.0,0.0,0.0
2,27,4.0,0.0,1.0
2,28,4.0,0.0,1.0
2,29,3.0,0.0,0.5
2,30,3.0,0.0,0.8999999999999999
3,1,4.0,0.0,1.0
3,2,4.0,0.0,0.40000000000000036
3,3,4.0,0.0,1.0
3,4,3.0,0.0,0.8999999999999999
3,5,3.0,0.0,0.0
3,6,5.0,0.0,0.0
3,7,4.0,0.0,0.0
3,8,4.0,0.0,1.0
3,9,4.0,0.0,1.0
3,10,3.0,0.0,0.0
3,11,4.0,0.0,1.0
3,12,5.0,0.0,0.0
3,13,3.0,0.0,0.0
3,14,4.0,0.0,0.0
3,15,3.0,0.0,0.20000000000000018
3,16,5.0,0.0,0.0
3,17,5.0,0.0,0.0
3,18,5.0,0.0,0.5999999999999996
3,19,4.0,0.0,0.0
3,20,4.0,0.0,0.20000000000000018
3,21,5.0,0.0,0.0
3,22,4.0,0.0,1.0
3,23,3.3,0.48304589153964794,0.3999999999999999
3,24,3.0,0.0,1.5
3,25,2.4,0.5163977794943223,0.6000000000000001
3,26,5.0,0.0,0.0
3,27,4.0,0.0,1.0
3,28,4.0,0.0,1.0
3,29,2.5,0.5270462766947299,1.0
3,30,2.8,0.4216370213557839,1.1
4,1,4.0,0.0,1.0
4,2,4.1,0.31622776601683794,0.3000000000000007
4,3,4.0,0.0,1.0
4,4,4.0,0.0,1.9
4,5,4.0,0.0,1.0
4,6,5.0,0.0,0.0
4,7,4.0,0.0,0.0
4,8,4.0,0.0,1.0
4,9,4.0,0.0,1.0
4,10,3.1,0.31622776601683794,0.10000000000000009
4,11,4.0,0.0,1.0
4,12,5.0,0.0,0.0
4,13,4.0,0.0,1.0
4,14,4.0,0.0,0.0
4,15,4.0,0.0,0.7999999999999998
4,16,5.0,0.0,0.0
4,17,5.0,0.0,0.0
4,18,4.0,0.0,0.40000000000000036
4,19,4.0,0.0,0.0
4,20,2.6,0.5163977794943223,1.1999999999999997
4,21,5.0,0.0,0.0
4,22,4.0,0.0,1.0
4,23,4.0,0.0,1.1
4,24,4.0,0.0,2.5
4,25,2.0,0.0,1.0
4,26,4.0,0.0,1.0
4,27,4.0,0.0,1.0
4,28,4.0,0.0,1.0
4,29,2.2,0.4216370213557839,1.2999999999999998
4,30,3.0,0.0,0.8999999999999999
5,1,3.0,0.0,2.0
5,2,3.6,0.5163977794943223,0.8000000000000003
5,3,2.5,0.5270462766947299,0.5
5,4,2.0,0.0,0.10000000000000009
5,5,1.8,0.6324555320336759,1.2
5,6,3.0,0.0,2.0
5,7,3.0,0.0,1.0
5,8,3.0,0.0,0.0
5,9,2.0,0.0,1.0
5,10,0.8,1.0327955589886446,2.2
5,11,2.5,0.5270462766947299,2.5
5,12,3.0,0.0,2.0
5,13,2.0,0.0,1.0
5,14,4.0,0.0,0.0
5,15,0.0,0.0,3.2
5,16,3.2,0.4216370213557839,1.7999999999999998
5,17,5.0,0.0,0.0
5,18,4.0,0.0,0.40000000000000036
5,19,3.0,0.0,1.0
5,20,2.0,0.0,1.7999999999999998
5,21,5.0,0.0,0.0
5,22,3.0,0.0,2.0
5,23,2.2,0.4216370213557839,0.6999999999999997
5,24,3.0,0.0,1.5
5,25,2.0,0.0,1.0
5,26,3.3,0.48304589153964794,1.7000000000000002
5,27,3.0,0.0,2.0
5,28,4.0,0.0,1.0
5,29,2.0,0.0,1.5
5,30,0.0,0.0,3.9
6,1,5.0,0.0,0.0
6,2,5.0,0.0,0.5999999999999996
6,3,4.0,0.0,1.0
6,4,3.0,0.0,0.8999999999999999
6,5,3.5,0.5270462766947299,0.5
6,6,5.0,0.0,0.0
6,7,4.0,0.0,0.0
6,8,4.0,0.0,1.0
6,9,3.0,0.0,0.0
6,10,4.0,0.0,1.0
6,11,5.0,0.0,0.0
6,12,5.0,0.0,0.0
6,13,3.6,0.5163977794943223,0.6000000000000001
6,14,4.0,0.0,0.0
6,15,3.1,0.31622776601683794,0.10000000000000009
6,16,5.0,0.0,0.0
6,17,5.0,0.0,0.0
6,18,4.0,0.0,0.40000000000000036
6,19,4.0,0.0,0.0
6,20,3.0,0.0,0.7999999999999998
6,21,5.0,0.0,0.0
6,22,5.0,0.0,0.0
6,23,4.0,0.0,1.1
6,24,3.0,0.0,1.5
6,25,2.0,0.0,1.0
6,26,5.0,0.0,0.0
6,27,4.3,0.48304589153964794,0.7000000000000002
6,28,4.0,0.0,1.0
6,29,2.0,0.0,1.5
6,30,3.0,0.0,0.8999999999999999
7,1,4.0,0.0,1.0
7,2,4.4,0.5163977794943222,0.0
7,3,4.0,0.0,1.0
7,4,3.0,0.0,0.8999999999999999
