persona,question,average_score,uncertainty
0,1,0.0,0.0
0,2,4.3,0.48304589153964794
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,0.0,0.0
0,8,1.5,1.0801234497346435
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.0
0,17,1.0,1.0540925533894598
0,18,4.5,0.97182531580755
0,19,0.0,0.0
0,20,0.0,0.0
0,21,5.0,0.0
0,22,5.0,0.0
0,23,4.3,1.4944341180973264
0,24,5.0,0.0
0,25,1.3,0.9486832980505139
0,26,1.8,0.6324555320336759
0,27,0.1,0.31622776601683794
0,28,0.0,0.0
0,29,2.8,1.5491933384829668
0,30,2.0,0.0
0,31,0.1,0.31622776601683794
0,32,0.0,0.0
1,1,1.3,2.9832867780352594
1,2,3.8,2.5298221281347035
1,3,-0.9,0.31622776601683794
1,4,-0.4,0.5163977794943223
1,5,0.0,0.0
1,6,0.0,0.0
1,7,5.0,0.0
1,8,0.2,2.2997584414213783
1,9,5.0,0.0
1,10,-0.1,0.31622776601683794
1,11,-0.7,0.4830458915396479
1,12,-0.5,0.5270462766947299
1,13,-0.7,0.4830458915396479
1,14,4.1,1.523883926754995
1,15,-0.4,0.5163977794943223
1,16,-1.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,0.0,0.0
1,20,0.0,0.0
1,21,0.2,2.5298221281347035
1,22,5.0,0.0
1,23,5.0,0.0
1,24,5.0,0.0
1,25,1.4,0.9660917830792959
1,26,0.0,0.0
1,27,-0.1,0.31622776601683794
1,28,-0.1,0.31622776601683794
1,29,-0.4,1.8973665961010278
1,30,0.0,0.0
1,31,0.0,0.0
1,32,-0.4,0.5163977794943222
2,1,1.6,0.8432740427115679
2,2,4.5,0.7071067811865476
2,3,0.0,0.0
2,4,0.0,0.0
2,5,0.0,0.0
2,6,0.0,0.0
2,7,0.0,0.0
2,8,0.6,0.9660917830792959
2,9,0.0,0.0
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,3.5,1.5811388300841898
2,18,4.1,1.4491376746189437
2,19,4.7,0.9486832980505138
2,20,2.0,0.0
2,21,2.3,0.9486832980505138
2,22,5.0,0.0
2,23,3.2,1.5491933384829668
2,24,5.0,0.0
2,25,2.0,0.0
2,26,2.0,0.0
2,27,0.5,0.8498365855987975
2,28,0.6,0.6992058987801011
2,29,2.0,0.0
2,30,1.8,0.6324555320336759
2,31,0.0,0.0
2,32,1.3,0.9486832980505139
3,1,0.0,0.0
3,2,0.0,0.0
3,3,0.0,0.0
3,4,0.0,0.0
3,5,0.0,0.0
3,6,0.0,0.0
3,7,0.0,0.0
3,8,0.0,0.0
3,9,0.0,0.0
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.0,0.0
3,13,0.0,0.0
3,14,0.0,0.0
3,15,0.0,0.0
3,16,0.0,0.0
3,17,5.0,0.0
3,18,5.0,0.0
3,19,5.0,0.0
3,20,5.0,0.0
3,21,5.0,0.0
3,22,5.0,0.0
3,23,5.0,0.0
3,24,0.0,0.0
3,25,0.0,0.0
3,26,0.0,0.0
3,27,0.0,0.0
3,28,0.0,0.0
3,29,5.0,0.0
3,30,0.0,0.0
3,31,0.0,0.0
3,32,0.0,0.0
4,1,3.9,0.31622776601683794
4,2,4.0,0.0
4,3,0.0,0.0
4,4,1.8,0.6324555320336759
4,5,3.8,0.4216370213557839
4,6,0.0,0.0
4,7,4.2,0.4216370213557839
4,8,2.7,0.48304589153964794
4,9,3.8,0.4216370213557839
4,10,2.2,0.4216370213557839
4,11,0.0,0.0
4,12,2.0,0.0
4,13,2.0,0.0
4,14,1.0,1.0540925533894598
4,15,2.0,0.0
4,16,0.0,0.0
4,17,5.0,0.0
4,18,5.0,0.0
4,19,4.1,0.31622776601683794
4,20,4.0,0.0
4,21,3.5,2.41522945769824
4,22,5.0,0.0
4,23,5.0,0.0
4,24,4.2,0.4216370213557839
4,25,3.2,1.0327955589886446
4,26,2.6,1.2649110640673518
4,27,0.0,0.0
4,28,0.0,0.0
4,29,5.0,0.0
4,30,0.0,0.0
